node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.ARRAGON_MV,569,0,81,0
#ATTENDANTS.BASSANIO.1_MV,40,0,5,0
#ATTENDANTS.BASSANIO.2_MV,317,0,42,0
#ATTENDANTS.BASSANIO.Leonardo_MV,480,11,62,2
#ATTENDANTS.BASSANIO_MV,4114,0,529,0
#ATTENDANTS.DUKE.0_MV,2344,0,307,0
#ATTENDANTS.DUKE_MV,3282,0,425,0
#ATTENDANTS.MOROCCO_MV,971,0,134,0
#ATTENDANTS.PORTIA.Balthazar_MV,429,7,58,1
#ATTENDANTS.PORTIA.Stephano_MV,2232,54,287,8
#ATTENDANTS.PORTIA_MV,4318,0,584,0
#Antonio_MV,8215,1434,1060,189
#Arragon_MV,569,496,81,71
#Bassanio_MV,10964,2593,1429,343
#Duke_MV,3282,557,425,72
#Gratiano_MV,9415,1373,1230,181
#Jailer_MV,294,0,39,0
#Jessica_MV,5200,660,679,87
#LanceletGobbo_MV,2475,1452,313,176
#Lorenzo_MV,5292,1329,701,184
#MUSICIANS_MV,4090,53,531,10
#Messenger_MV,131,76,19,11
#Morocco_MV,971,800,134,109
#Nerissa_MV,10799,695,1407,90
#OldGobbo_MV,1111,292,136,38
#Portia_MV,10374,4599,1355,585
#SERVANTS.1_MV,107,35,13,4
#SERVANTS.2_MV,41,15,6,2
#Salarino_MV,2260,701,298,92
#Salerio_MV,4566,174,592,25
#Shylock_MV,5916,2881,773,365
#Solanio_MV,2085,544,276,75
#Tubal_MV,411,96,54,16
