act,scene,n_tokens,n_lines,onstage
1,1,321,43,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO.Valentine_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN
1,2,481,67,#Captain_TN #SAILORS_TN #Viola_TN
1,3,1009,139,#AndrewAguecheek_TN #Maria_TN #TobyBelch_TN
1,4,327,46,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO.Valentine_TN #ATTENDANTS.ORSINO_TN #Orsino_TN #Viola_TN
1,5,2432,320,#ATTENDANTS.OLIVIA_TN #Feste_TN #Malvolio_TN #Maria_TN #Olivia_TN #TobyBelch_TN #Viola_TN
2,1,395,47,#Antonio_TN #Sebastian_TN
2,2,344,41,#Malvolio_TN #Viola_TN
2,3,1421,189,#AndrewAguecheek_TN #Feste_TN #Malvolio_TN #Maria_TN #TobyBelch_TN
2,4,950,138,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #Feste_TN #MUSICIANS_TN #Orsino_TN #Viola_TN
2,5,1492,212,#AndrewAguecheek_TN #Fabian_TN #Malvolio_TN #Maria_TN #TobyBelch_TN
3,1,1288,172,#AndrewAguecheek_TN #Feste_TN #Maria_TN #Olivia_TN #TobyBelch_TN #Viola_TN
3,2,677,82,#AndrewAguecheek_TN #Fabian_TN #Maria_TN #TobyBelch_TN
3,3,396,54,#Antonio_TN #Sebastian_TN
3,4,3053,418,#ATTENDANTS.OLIVIA.1_TN #AndrewAguecheek_TN #Antonio_TN #Fabian_TN #Malvolio_TN #Maria_TN #OFFICERS.1_TN #OFFICERS.2_TN #Olivia_TN #TobyBelch_TN #Viola_TN
4,1,512,70,#AndrewAguecheek_TN #Fabian_TN #Feste_TN #Olivia_TN #Sebastian_TN #TobyBelch_TN
4,2,941,133,#Feste_TN #Malvolio_TN #Maria_TN #TobyBelch_TN
4,3,296,37,#Olivia_TN #Priest_TN #Sebastian_TN
5,1,3154,431,#ATTENDANTS.OLIVIA_TN #ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #AndrewAguecheek_TN #Antonio_TN #Fabian_TN #Feste_TN #Malvolio_TN #OFFICERS.1_TN #OFFICERS.2_TN #Olivia_TN #Orsino_TN #Priest_TN #Sebastian_TN #TobyBelch_TN #Viola_TN
