act,scene,n_tokens,n_lines,onstage
0,0,297,42,#Chorus_2H4
1,1,1750,235,#LordBardolph_2H4 #Morton_2H4 #Northumberland_R2 #Porter_2H4 #Travers_2H4
1,2,2164,257,#ChiefJustice_2H4 #Falstaff_1H4 #SERVANTS.CHIEFJUSTICE.1_2H4 #SERVANTS.FALSTAFF.1_2H4
1,3,846,116,#Archbishop_1H4 #Hastings_2H4 #LordBardolph_2H4 #Mowbray_2H4
2,1,1516,202,#Bardolph_1H4 #ChiefJustice_2H4 #Falstaff_1H4 #MESSENGERS.Gower_2H4 #MistressQuickly_1H4 #OFFICERS.Fang_2H4 #OFFICERS.Snare_2H4 #OFFICERS_2H4 #SERVANTS.FALSTAFF.1_2H4
2,2,1345,178,#Bardolph_1H4 #HenryV_H5 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4
2,3,552,71,#LadyNorthumberland_2H4 #LadyPercy_1H4 #Northumberland_R2
2,4,2892,400,#Bardolph_1H4 #DRAWERS.1_2H4 #DRAWERS.Francis_1H4 #DRAWERS.Will_2H4 #DRAWERS.X_2H4 #DollTearsheet_2H4 #Falstaff_1H4 #HenryV_H5 #MUSICIANS_2H4 #MistressQuickly_1H4 #Peto_1H4 #Pistol_2H4 #Poins_1H4 #SERVANTS.FALSTAFF.1_2H4
3,1,830,112,#Blunt_2H4 #HenryIV_1H4 #SERVANTS.HENRY_2H4 #Surrey_2H4 #Warwick_2H4
3,2,2587,345,#Bardolph_1H4 #Bullcalf_2H4 #Falstaff_1H4 #Feeble_2H4 #Man_2H4 #Mouldy_2H4 #Shadow_2H4 #Shallow_2H4 #Silence_2H4 #Wart_2H4
4,1,2741,380,#Archbishop_1H4 #Bedford_H5 #Hastings_2H4 #LordBardolph_2H4 #MESSENGERS.1_2H4 #Mowbray_2H4 #SOLDIERS.HENRY_2H4 #SOLDIERS.REBEL_2H4 #Westmoreland_1H4
4,2,1126,136,#Bardolph_1H4 #Bedford_H5 #Blunt_2H4 #Colevile_2H4 #Falstaff_1H4 #SOLDIERS.HENRY_2H4 #Westmoreland_1H4
4,3,2942,401,#ATTENDANTS_2H4 #Bedford_H5 #Clarence_2H4 #Gloucester_2H4 #Harcourt_2H4 #HenryIV_1H4 #HenryV_H5 #Warwick_2H4 #Westmoreland_1H4
5,1,690,91,#Bardolph_1H4 #Davy_2H4 #Falstaff_1H4 #SERVANTS.FALSTAFF.1_2H4 #Shallow_2H4
5,2,1143,147,#Bedford_H5 #Blunt_2H4 #ChiefJustice_2H4 #Clarence_2H4 #Gloucester_2H4 #HenryV_H5 #Warwick_2H4
5,3,961,144,#Bardolph_1H4 #Davy_2H4 #Falstaff_1H4 #Pistol_2H4 #SERVANTS.FALSTAFF.1_2H4 #Shallow_2H4 #Silence_2H4
5,4,235,32,#BEADLES.0.1_2H4 #BEADLES_2H4 #DollTearsheet_2H4 #MistressQuickly_1H4
5,5,819,110,#ATTENDANTS_2H4 #Bardolph_1H4 #Bedford_H5 #ChiefJustice_2H4 #Falstaff_1H4 #GROOMS.1_2H4 #GROOMS.2_2H4 #HenryV_H5 #OFFICERS_2H4 #Pistol_2H4 #SERVANTS.FALSTAFF.1_2H4 #Shallow_2H4
6,0,331,36,#Epilogue_2H4
