act,scene,n_tokens,n_lines,onstage
1,1,2205,284,#Bastard_Jn #Chatillion_Jn #Essex_Jn #Gurney_Jn #KingJohn_Jn #LadyFaulconbridge_Jn #Pembroke_Jn #QueenEleanor_Jn #RobertFaulconbridge_Jn #Salisbury_Jn #Sheriff_Jn
2,1,4661,627,#ATTENDANTS.FRENCH_Jn #Arthur_Jn #Austria_Jn #Bastard_Jn #Blanche_Jn #CITIZENS.0.1_Jn #CITIZENS_Jn #Chatillion_Jn #Constance_Jn #Dauphin_Jn #HERALDS.ENGLISH_Jn #HERALDS.FRENCH_Jn #KingJohn_Jn #KingPhilip_Jn #Pembroke_Jn #QueenEleanor_Jn #SOLDIERS.ENGLISH_Jn #SOLDIERS.FRENCH_Jn #Salisbury_Jn
3,1,2752,362,#ATTENDANTS_Jn #Arthur_Jn #Austria_Jn #Bastard_Jn #Blanche_Jn #Constance_Jn #Dauphin_Jn #KingJohn_Jn #KingPhilip_Jn #Pandulph_Jn #QueenEleanor_Jn #Salisbury_Jn
3,2,74,11,#Arthur_Jn #Bastard_Jn #Hubert_Jn #KingJohn_Jn
3,3,594,83,#ATTENDANTS.ENGLISH_Jn #Arthur_Jn #Bastard_Jn #Hubert_Jn #KingJohn_Jn #QueenEleanor_Jn
3,4,1471,186,#ATTENDANTS.FRENCH_Jn #Constance_Jn #Dauphin_Jn #KingPhilip_Jn #Pandulph_Jn
4,1,1135,148,#Arthur_Jn #EXECUTIONERS.0.1_Jn #EXECUTIONERS_Jn #Hubert_Jn
4,2,2121,281,#ATTENDANTS.ENGLISH_Jn #Bastard_Jn #Hubert_Jn #KingJohn_Jn #MESSENGERS.ENGLISH.1_Jn #Pembroke_Jn #Peter_Jn #Salisbury_Jn
4,3,1281,167,#Arthur_Jn #Bastard_Jn #Bigot_Jn #Hubert_Jn #Pembroke_Jn #Salisbury_Jn
5,1,605,82,#ATTENDANTS.ENGLISH_Jn #Bastard_Jn #KingJohn_Jn #Pandulph_Jn
5,2,1405,183,#Bastard_Jn #Bigot_Jn #Dauphin_Jn #Melun_Jn #Pandulph_Jn #Pembroke_Jn #SOLDIERS.ENGLISH_Jn #SOLDIERS.FRENCH_Jn #Salisbury_Jn
5,3,136,17,#Hubert_Jn #KingJohn_Jn #MESSENGERS.ENGLISH.1_Jn
5,4,482,62,#Bigot_Jn #Melun_Jn #Pembroke_Jn #SOLDIERS.1_Jn #Salisbury_Jn
5,5,182,24,#ATTENDANTS.FRENCH_Jn #Dauphin_Jn #MESSENGERS.FRENCH.1_Jn
5,6,354,48,#Bastard_Jn #Hubert_Jn
5,7,944,124,#Bastard_Jn #Bigot_Jn #KingJohn_Jn #Pembroke_Jn #PrinceHenry_Jn #Salisbury_Jn
