act,scene,n_tokens,n_lines,onstage
1,1,2420,356,#ATTENDANTS.0_Lr #ATTENDANTS_Lr #Albany_Lr #Burgundy_Lr #Cordelia_Lr #Cornwall_Lr #Edmund_Lr #France_Lr #Gloucester_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Regan_Lr
1,2,1458,192,#Edgar_Lr #Edmund_Lr #Gloucester_Lr
1,3,218,29,#Goneril_Lr #Oswald_Lr
1,4,2538,372,#ATTENDANTS.LEAR.0.3_Lr #ATTENDANTS.LEAR_Lr #Albany_Lr #Fool_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Oswald_Lr
1,5,344,52,#ATTENDANTS.X.1_Lr #Fool_Lr #Kent_Lr #Lear_Lr
2,1,1029,152,#ATTENDANTS.REGAN_Lr #Cornwall_Lr #Curan_Lr #Edgar_Lr #Edmund_Lr #Gloucester_Lr #Regan_Lr #SERVANTS_Lr
2,2,1276,189,#Cornwall_Lr #Edmund_Lr #Gloucester_Lr #Kent_Lr #Oswald_Lr #Regan_Lr #SERVANTS_Lr
2,3,152,21,#Edgar_Lr
2,4,2423,353,#ATTENDANTS.X.2_Lr #Cornwall_Lr #Fool_Lr #Gloucester_Lr #Goneril_Lr #Kent_Lr #Lear_Lr #Oswald_Lr #Regan_Lr #SERVANTS_Lr
3,1,432,62,#ATTENDANTS.X.3_Lr #Kent_Lr
3,2,699,103,#Fool_Lr #Kent_Lr #Lear_Lr
3,3,219,25,#Edmund_Lr #Gloucester_Lr
3,4,1439,197,#Edgar_Lr #Fool_Lr #Gloucester_Lr #Kent_Lr #Lear_Lr
3,5,192,26,#Cornwall_Lr #Edmund_Lr
3,6,853,126,#Edgar_Lr #Fool_Lr #Gloucester_Lr #Kent_Lr #Lear_Lr
3,7,847,129,#Cornwall_Lr #Edmund_Lr #Gloucester_Lr #Goneril_Lr #Oswald_Lr #Regan_Lr #SERVANTS.0.1_Lr #SERVANTS.0.2_Lr #SERVANTS.0.3_Lr #SERVANTS.0_Lr #SERVANTS_Lr
4,0,211,32,#ATTENDANTS.CORDELIA_Lr #Cordelia_Lr #Doctor_Lr #MESSENGERS.X.2_Lr #SOLDIERS.CORDELIA_Lr
4,1,640,90,#Edgar_Lr #Gloucester_Lr #OldMan_Lr
4,2,766,118,#Albany_Lr #Edmund_Lr #Goneril_Lr #MESSENGERS.X.1_Lr #Oswald_Lr
4,3,432,66,#ATTENDANTS.X.4_Lr #Kent_Lr
4,5,314,45,#Oswald_Lr #Regan_Lr
4,6,2271,316,#ATTENDANTS.CORDELIA.1_Lr #Edgar_Lr #Gloucester_Lr #Lear_Lr #Oswald_Lr #SERVANTS.CORDELIA_Lr
4,7,788,112,#ATTENDANTS.CORDELIA.1_Lr #Cordelia_Lr #Doctor_Lr #Kent_Lr #Lear_Lr #SERVANTS.CORDELIA_Lr
5,1,539,77,#ATTENDANTS.REGAN_Lr #Albany_Lr #Edgar_Lr #Edmund_Lr #Goneril_Lr #Regan_Lr #SOLDIERS.GONERIL_Lr #SOLDIERS.REGAN_Lr
5,2,91,13,#Edgar_Lr #Gloucester_Lr
5,3,2658,395,#ATTENDANTS.ALBANY_Lr #ATTENDANTS.CORDELIA.1_Lr #Albany_Lr #Cordelia_Lr #Edgar_Lr #Edmund_Lr #Goneril_Lr #Herald_Lr #Kent_Lr #Lear_Lr #MESSENGERS.X.3_Lr #Regan_Lr #SOLDIERS.CAPTAINS.1_Lr #SOLDIERS.CAPTAINS.2_Lr #SOLDIERS_Lr
