node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.ENGLISH_Jn,1574,0,212,0
#ATTENDANTS.FRENCH_Jn,5141,0,684,0
#ATTENDANTS_Jn,2139,0,285,0
#Arthur_Jn,9854,977,1311,123
#Austria_Jn,6255,239,837,35
#Bastard_Jn,11178,4087,1481,533
#Bigot_Jn,3529,59,460,9
#Blanche_Jn,5631,332,754,43
#CITIZENS.0.1_Jn,3095,517,419,67
#CITIZENS_Jn,2810,0,380,0
#Chatillion_Jn,2155,296,292,41
#Constance_Jn,7582,2113,1005,270
#Dauphin_Jn,9313,1194,1230,156
#EXECUTIONERS.0.1_Jn,1091,19,143,2
#EXECUTIONERS_Jn,187,0,22,0
#Essex_Jn,1452,25,187,3
#Gurney_Jn,134,4,17,1
#HERALDS.ENGLISH_Jn,1969,101,265,13
#HERALDS.FRENCH_Jn,2056,87,277,12
#Hubert_Jn,4401,1010,581,140
#KingJohn_Jn,11321,3309,1506,450
#KingPhilip_Jn,7098,1477,945,195
#LadyFaulconbridge_Jn,495,122,62,16
#MESSENGERS.ENGLISH.1_Jn,701,164,96,22
#MESSENGERS.FRENCH.1_Jn,118,46,15,6
#Melun_Jn,1841,308,239,39
#Pandulph_Jn,4231,1264,552,165
#Pembroke_Jn,8142,610,1077,79
#Peter_Jn,216,8,28,1
#PrinceHenry_Jn,944,221,124,30
#QueenEleanor_Jn,7677,424,1024,57
#RobertFaulconbridge_Jn,1096,179,138,22
#SOLDIERS.1_Jn,436,0,56,0
#SOLDIERS.ENGLISH_Jn,4897,0,652,0
#SOLDIERS.FRENCH_Jn,5521,0,735,0
#Salisbury_Jn,12129,1216,1594,160
#Sheriff_Jn,28,0,4,0
