node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS_AYL,600,0,84,0
#Adam_AYL,1705,513,217,65
#Audrey_AYL,2796,149,383,23
#Celia_AYL,10980,2106,1502,287
#Charles_AYL,1100,375,140,43
#Corin_AYL,2455,549,338,72
#Dennis_AYL,31,17,6,3
#DukeFrederick_AYL,1312,529,179,73
#DukeSenior_AYL,3620,808,487,110
#Hymen_AYL,618,134,91,24
#Jaques_AYL,4847,1769,668,243
#LORDS.FREDERICK.0.1_AYL,133,32,18,4
#LORDS.FREDERICK.0.2_AYL,101,63,14,9
#LORDS.FREDERICK.LeBeau_AYL,1180,371,162,48
#LORDS.FREDERICK_AYL,1312,0,179,0
#LORDS.SENIOR.0.1_AYL,1981,320,270,44
#LORDS.SENIOR.0.2_AYL,72,32,12,6
#LORDS.SENIOR.Amiens_AYL,4012,278,548,51
#LORDS.SENIOR_AYL,2591,39,359,8
#OliverMartext_AYL,308,36,45,6
#Oliver_AYL,3818,1164,500,153
#Orlando_AYL,8418,2370,1127,310
#Phoebe_AYL,3007,694,400,90
#Rosalind_AYL,12283,5696,1677,758
#SERVANTS.1_AYL,300,213,42,30
#SERVANTS.2_AYL,300,196,42,27
#SecondBrother_AYL,374,128,53,17
#Silvius_AYL,3716,540,497,76
#Touchstone_AYL,5961,2374,823,300
#William_AYL,387,41,51,11
