node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ALDERMEN_H8,649,0,86,0
#ATTENDANTS_H8,5074,0,727,0
#Abergavenny_H8,1848,114,269,18
#Anne_H8,1810,376,273,59
#BISHOPS_H8,1918,0,266,0
#BishopOfLincoln_H8,1918,52,266,8
#Brandon_H8,242,84,39,14
#Buckingham_H8,2559,1480,355,194
#Butts_H8,153,59,23,9
#COMMONERS_H8,711,0,86,0
#Campeius_H8,3859,379,526,54
#Capuchius_H8,549,65,72,11
#Chamberlain_H8,6589,1130,965,157
#Chancellor_H8,1529,212,214,31
#Cranmer_H8,3063,1039,430,138
#Crier_H8,1918,24,266,5
#Cromwell_H8,2351,304,328,50
#Denny_H8,47,21,11,4
#ElizabethI.Infant_H8,649,0,86,0
#Epilogue_H8,123,123,14,14
#GENTLEMEN.1_H8,2409,703,340,108
#GENTLEMEN.2_H8,2409,569,340,90
#GENTLEMEN.3_H8,533,437,76,58
#GENTLEMEN.X_H8,32,19,7,3
#GENTLEMEN_H8,924,0,144,0
#GUARDS_H8,2367,0,316,0
#Gardiner_H8,2176,665,305,93
#Garter_H8,649,21,86,3
#Griffith_H8,1427,421,195,58
#Guilford_H8,924,69,144,10
#HenryVIII_H8,7793,3370,1105,476
#Katherine_H8,5646,2885,785,383
#Keeper_H8,1784,40,253,7
#LADIES.KATHERINE.0.1_H8,1493,70,201,12
#LADIES.KATHERINE.Patience_H8,1427,35,195,6
#LADIES.KATHERINE_H8,1512,0,203,0
#LADIES_H8,1573,0,230,0
#LORDS_H8,2567,0,352,0
#LordMayor_H8,649,0,86,0
#Lovell_H8,5436,475,780,70
#MASKERS_H8,381,0,61,0
#Messenger_H8,71,29,12,4
#NOBLES_H8,1725,0,247,0
#Norfolk_H8,8953,1453,1293,219
#OldLady_H8,1046,495,152,68
#Page_H8,477,3,66,1
#Porter_H8,795,274,97,35
#Prologue_H8,266,266,32,32
#SECRETARIES.0.1_H8,919,8,132,2
#SECRETARIES.X.1_H8,857,0,124,0
#SECRETARIES_H8,35,0,7,0
#SERVANTS.LARDER.1_H8,774,13,94,3
#SERVANTS.PORTER.1_H8,795,354,97,40
#SERVANTS.X.1_H8,67,24,11,4
#SERVANTS_H8,2454,0,359,0
#Sands_H8,2156,338,307,49
#Scribe_H8,1918,18,266,4
#Sergeant_H8,242,28,39,5
#Suffolk_H8,7291,624,1052,94
#Surrey_H8,4182,522,606,82
#Surveyor_H8,868,449,123,61
#Usher_H8,1044,5,148,1
#Vaux_H8,711,24,86,4
#Wolsey_H8,9460,3200,1323,445
