act,scene,n_tokens,n_lines,onstage
1,1,1421,171,#Adam_AYL #Charles_AYL #Dennis_AYL #Oliver_AYL #Orlando_AYL
1,2,2152,290,#ATTENDANTS_AYL #Celia_AYL #Charles_AYL #DukeFrederick_AYL #LORDS.FREDERICK.LeBeau_AYL #LORDS.FREDERICK_AYL #Orlando_AYL #Rosalind_AYL #Touchstone_AYL
1,3,1083,145,#Celia_AYL #DukeFrederick_AYL #LORDS.FREDERICK_AYL #Rosalind_AYL
2,1,533,73,#DukeSenior_AYL #LORDS.SENIOR.0.1_AYL #LORDS.SENIOR.0.2_AYL #LORDS.SENIOR.Amiens_AYL #LORDS.SENIOR_AYL
2,2,157,21,#DukeFrederick_AYL #LORDS.FREDERICK.0.1_AYL #LORDS.FREDERICK.0.2_AYL #LORDS.FREDERICK_AYL
2,3,610,77,#Adam_AYL #Orlando_AYL
2,4,786,103,#Celia_AYL #Corin_AYL #Rosalind_AYL #Silvius_AYL #Touchstone_AYL
2,5,392,61,#Jaques_AYL #LORDS.SENIOR.Amiens_AYL #LORDS.SENIOR_AYL
2,6,167,18,#Adam_AYL #Orlando_AYL
2,7,1583,212,#Adam_AYL #DukeSenior_AYL #Jaques_AYL #LORDS.SENIOR.0.1_AYL #LORDS.SENIOR.Amiens_AYL #LORDS.SENIOR_AYL #Orlando_AYL
3,1,147,18,#DukeFrederick_AYL #LORDS.FREDERICK_AYL #Oliver_AYL
3,2,3190,443,#Celia_AYL #Corin_AYL #Jaques_AYL #Orlando_AYL #Rosalind_AYL #Touchstone_AYL
3,3,788,107,#Audrey_AYL #Jaques_AYL #OliverMartext_AYL #Touchstone_AYL
3,4,448,60,#Celia_AYL #Corin_AYL #Rosalind_AYL
3,5,1177,150,#Celia_AYL #Corin_AYL #Phoebe_AYL #Rosalind_AYL #Silvius_AYL
4,1,1653,231,#Celia_AYL #Jaques_AYL #Orlando_AYL #Rosalind_AYL
4,2,83,13,#Jaques_AYL #LORDS.SENIOR.0.1_AYL #LORDS.SENIOR.0.2_AYL #LORDS.SENIOR_AYL
4,3,1398,193,#Celia_AYL #Oliver_AYL #Rosalind_AYL #Silvius_AYL
5,1,463,64,#Audrey_AYL #Corin_AYL #Touchstone_AYL #William_AYL
5,2,987,130,#Oliver_AYL #Orlando_AYL #Phoebe_AYL #Rosalind_AYL #Silvius_AYL
5,3,336,47,#Audrey_AYL #SERVANTS.1_AYL #SERVANTS.2_AYL #Touchstone_AYL
5,4,1504,202,#Audrey_AYL #Celia_AYL #DukeSenior_AYL #Hymen_AYL #Jaques_AYL #LORDS.SENIOR.Amiens_AYL #Oliver_AYL #Orlando_AYL #Phoebe_AYL #Rosalind_AYL #SecondBrother_AYL #Silvius_AYL #Touchstone_AYL
6,0,227,22,#Rosalind_AYL
