act,scene,n_tokens,n_lines,onstage
1,1,1190,158,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err
1,2,858,108,#AntipholusOfSyracuse_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Merchant1_Err
2,1,930,121,#Adriana_Err #DromioOfEphesus_Err #Luciana_Err
2,2,1692,232,#Adriana_Err #AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Luciana_Err
3,1,1176,172,#Adriana_Err #Angelo_Err #AntipholusOfEphesus_Err #Balthasar_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Luce_Err
3,2,1492,203,#Angelo_Err #AntipholusOfSyracuse_Err #DromioOfSyracuse_Err #Luciana_Err
4,1,954,115,#Angelo_Err #AntipholusOfEphesus_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Merchant2_Err #OFFICERS.X_Err
4,2,588,82,#Adriana_Err #DromioOfSyracuse_Err #Luciana_Err
4,3,766,98,#AntipholusOfSyracuse_Err #Courtesan_Err #DromioOfSyracuse_Err
4,4,1304,169,#Adriana_Err #AntipholusOfEphesus_Err #AntipholusOfSyracuse_Err #Courtesan_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Luciana_Err #OFFICERS.X_Err #Pinch_Err #SERVANTS.PINCH_Err
5,1,3410,441,#Abbess_Err #Adriana_Err #Angelo_Err #AntipholusOfEphesus_Err #AntipholusOfSyracuse_Err #Courtesan_Err #DromioOfEphesus_Err #DromioOfSyracuse_Err #Duke_Err #Egeon_Err #Headsman_Err #Luciana_Err #Merchant2_Err #Messenger_Err #OFFICERS_Err #OTHERS_Err
