node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS_1H4,1756,0,237,0
#Archbishop_1H4,311,258,41,34
#Bardolph_1H4,5369,201,704,33
#Bedford_H5,2475,64,324,8
#Blunt_1H4,3142,299,417,41
#Chamberlain_1H4,419,149,51,19
#DRAWERS.Francis_1H4,3262,83,433,17
#Douglas_1H4,2846,341,384,45
#Falstaff_1H4,9884,5510,1266,660
#Gadshill_1H4,4024,343,531,47
#Glendower_1H4,1676,608,229,78
#HenryIV_1H4,4800,2555,643,345
#HenryV_H5,11589,4368,1531,582
#Hotspur_R2,8869,4326,1177,573
#LadyMortimer_1H4,555,0,79,0
#LadyPercy_1H4,1201,419,167,58
#MESSENGERS.1_1H4,175,7,22,1
#MESSENGERS.2_1H4,96,8,12,1
#MESSENGERS.X_1H4,990,49,131,6
#MistressQuickly_1H4,2771,411,356,54
#Mortimer_1H4,2027,444,276,62
#Northumberland_R2,2296,170,313,26
#Ostler_1H4,747,2,99,1
#Peto_1H4,4849,93,648,16
#Poins_1H4,5185,546,687,81
#SERVANTS.HOTSPUR.1_1H4,64,19,9,3
#SOLDIERS.HENRY_1H4,331,0,46,0
#SOLDIERS.HOTSPUR_1H4,566,0,76,0
#Sheriff_1H4,158,59,21,8
#SirMichael_1H4,311,53,41,7
#TRAVELERS.CARRIERS.1_1H4,352,175,51,23
#TRAVELERS.CARRIERS.2_1H4,299,140,43,20
#TRAVELERS.CARRIERS.X_1H4,158,4,21,1
#TRAVELERS.CARRIERS_1H4,90,3,16,1
#TRAVELERS.GENTLEMEN.0.1_1H4,236,19,37,3
#TRAVELERS.GENTLEMEN_1H4,90,12,16,3
#Vernon_1H4,2978,460,401,66
#Vintner_1H4,42,33,6,4
#Westmoreland_1H4,1475,297,199,41
#Worcester_1H4,7169,1421,968,191
