act,scene,n_tokens,n_lines,onstage
1,1,3739,505,#Aaron_Tit #Alarbus_Tit #Bassianus_Tit #Captain_Tit #Chiron_Tit #Demetrius_Tit #GUARDS_Tit #Lavinia_Tit #Lucius_Tit #Marcus_Tit #Martius_Tit #Mutius_Tit #Quintus_Tit #ROMANS.0_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit #Tamora_Tit #Titus_Tit
2,1,1043,143,#Aaron_Tit #Chiron_Tit #Demetrius_Tit
2,2,212,29,#ATTENDANTS_Tit #Bassianus_Tit #Chiron_Tit #Demetrius_Tit #Lavinia_Tit #Lucius_Tit #Marcus_Tit #Martius_Tit #Quintus_Tit #Saturninus_Tit #Tamora_Tit #Titus_Tit
2,3,2394,307,#ATTENDANTS_Tit #Aaron_Tit #Bassianus_Tit #Chiron_Tit #Demetrius_Tit #Lavinia_Tit #Lucius_Tit #Martius_Tit #Quintus_Tit #Saturninus_Tit #Tamora_Tit #Titus_Tit
2,4,480,57,#Chiron_Tit #Demetrius_Tit #Lavinia_Tit #Marcus_Tit
3,1,2434,306,#Aaron_Tit #Lavinia_Tit #Lucius_Tit #Marcus_Tit #Martius_Tit #Messenger_Tit #Quintus_Tit #SENATORS_Tit #TRIBUNES_Tit #Titus_Tit
3,2,684,86,#Lavinia_Tit #Marcus_Tit #SERVANTS_Tit #Titus_Tit #YoungLucius_Tit
4,1,1030,130,#Lavinia_Tit #Marcus_Tit #Titus_Tit #YoungLucius_Tit
4,2,1430,186,#Aaron_Tit #Chiron_Tit #Demetrius_Tit #Infant_Tit #Nurse_Tit #SERVANTS_Tit #YoungLucius_Tit
4,3,944,124,#Caius_Tit #CountryFellow_Tit #Marcus_Tit #Publius_Tit #Sempronius_Tit #Titus_Tit #YoungLucius_Tit
4,4,857,116,#ATTENDANTS_Tit #Aemilius_Tit #Chiron_Tit #CountryFellow_Tit #Demetrius_Tit #Saturninus_Tit #Tamora_Tit
5,1,1331,167,#Aaron_Tit #Aemilius_Tit #GOTHS.0.1_Tit #GOTHS.0.2_Tit #GOTHS.0_Tit #GOTHS_Tit #Infant_Tit #Lucius_Tit
5,2,1656,210,#Caius_Tit #Chiron_Tit #Demetrius_Tit #Lavinia_Tit #Marcus_Tit #Publius_Tit #Tamora_Tit #Titus_Tit #Valentine_Tit
5,3,1547,202,#ATTENDANTS_Tit #Aaron_Tit #Aemilius_Tit #GOTHS.0.1_Tit #GOTHS.0_Tit #GOTHS_Tit #Infant_Tit #Lavinia_Tit #Lucius_Tit #Marcus_Tit #SERVANTS_Tit #Saturninus_Tit #TRIBUNES.0.1_Tit #TRIBUNES_Tit #Tamora_Tit #Titus_Tit #YoungLucius_Tit
