act,scene,n_tokens,n_lines,onstage
0,0,266,32,#Prologue_H8
1,1,1848,269,#Abergavenny_H8 #Brandon_H8 #Buckingham_H8 #GUARDS_H8 #Norfolk_H8 #SECRETARIES.0.1_H8 #SECRETARIES_H8 #Sergeant_H8 #Wolsey_H8
1,2,1725,247,#ATTENDANTS_H8 #HenryVIII_H8 #Katherine_H8 #Lovell_H8 #NOBLES_H8 #Norfolk_H8 #SECRETARIES.X.1_H8 #Suffolk_H8 #Surveyor_H8 #Wolsey_H8
1,3,574,84,#Chamberlain_H8 #Lovell_H8 #Sands_H8
1,4,924,144,#ATTENDANTS_H8 #Anne_H8 #Chamberlain_H8 #GENTLEMEN_H8 #Guilford_H8 #HenryVIII_H8 #LADIES_H8 #Lovell_H8 #MASKERS_H8 #SERVANTS.X.1_H8 #SERVANTS_H8 #Sands_H8 #Wolsey_H8
2,1,1426,197,#Buckingham_H8 #COMMONERS_H8 #GENTLEMEN.1_H8 #GENTLEMEN.2_H8 #GUARDS_H8 #Lovell_H8 #Sands_H8 #Vaux_H8
2,2,1194,169,#Campeius_H8 #Chamberlain_H8 #Gardiner_H8 #HenryVIII_H8 #Norfolk_H8 #Suffolk_H8 #Wolsey_H8
2,3,886,129,#Anne_H8 #Chamberlain_H8 #OldLady_H8
2,4,1918,266,#ATTENDANTS_H8 #BISHOPS_H8 #BishopOfLincoln_H8 #Campeius_H8 #Crier_H8 #HenryVIII_H8 #Katherine_H8 #LORDS_H8 #Scribe_H8 #Usher_H8 #Wolsey_H8
3,1,1512,203,#Campeius_H8 #GENTLEMEN.X_H8 #Katherine_H8 #LADIES.KATHERINE.0.1_H8 #LADIES.KATHERINE_H8 #Wolsey_H8
3,2,3801,540,#ATTENDANTS_H8 #Chamberlain_H8 #Cromwell_H8 #HenryVIII_H8 #Lovell_H8 #Norfolk_H8 #Suffolk_H8 #Surrey_H8 #Wolsey_H8
4,1,983,143,#GENTLEMEN.1_H8 #GENTLEMEN.2_H8 #GENTLEMEN.3_H8
4,2,1427,195,#Capuchius_H8 #Griffith_H8 #Katherine_H8 #LADIES.KATHERINE.Patience_H8 #Messenger_H8
5,1,1482,216,#Cranmer_H8 #Denny_H8 #Gardiner_H8 #HenryVIII_H8 #Lovell_H8 #OldLady_H8 #Page_H8 #Suffolk_H8
5,2,1818,258,#Butts_H8 #Chamberlain_H8 #Chancellor_H8 #Cranmer_H8 #Cromwell_H8 #GUARDS_H8 #Gardiner_H8 #HenryVIII_H8 #Keeper_H8 #Norfolk_H8 #SERVANTS_H8 #Suffolk_H8 #Surrey_H8
5,3,795,97,#Chamberlain_H8 #Porter_H8 #SERVANTS.LARDER.1_H8 #SERVANTS.PORTER.1_H8
5,4,649,86,#ALDERMEN_H8 #Cranmer_H8 #ElizabethI.Infant_H8 #GUARDS_H8 #Garter_H8 #HenryVIII_H8 #LADIES_H8 #LORDS_H8 #LordMayor_H8 #Norfolk_H8 #Suffolk_H8
6,0,123,14,#Epilogue_H8
