node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.YORK_2H6,1721,0,220,0
#ATTENDANTS_2H6,8329,0,1095,0
#Beadle_2H6,95,12,13,2
#Bevis_2H6,3250,168,428,26
#Bolingbroke_2H6,537,181,76,24
#Buckingham_2H6,6227,562,825,76
#CITIZENS.LONDON.0.1_2H6,96,38,12,5
#CITIZENS.LONDON_2H6,102,0,13,0
#CITIZENS.STALBANS.0.1_2H6,1086,29,154,4
#CITIZENS.STALBANS_2H6,683,0,98,0
#CITIZENS_2H6,1255,20,165,2
#Cade_2H6,3788,2142,478,256
#CardinalBeaufort_1H6,8904,816,1183,109
#Clerk_2H6,166,18,25,3
#Clifford_2H6,2050,468,260,56
#Clifford_3H6,1069,346,138,46
#Dick_2H6,3044,327,397,50
#DuchessOfGloucester_2H6,2263,963,293,121
#EdwardIV_3H6,1029,8,131,1
#FALCONERS_2H6,1536,0,219,0
#FOLLOWERS.CADE.0.1_2H6,67,0,8,0
#FOLLOWERS.CADE.0_2H6,821,4,111,1
#FOLLOWERS.CADE_2H6,3149,66,411,11
#GENTLEMEN.1_2H6,1168,56,156,7
#GENTLEMEN.2_2H6,1122,10,150,1
#George_2H6,1475,34,186,7
#Gloucester_2H4,5986,2346,804,312
#HERALDS.X.1_2H6,33,17,4,2
#HERALDS.X.2_2H6,465,0,60,0
#HenryVI_1H6,10400,2480,1376,326
#Holland_2H6,3250,189,428,30
#Horner_2H6,705,171,94,20
#Hume_2H6,815,244,112,31
#Iden_2H6,1847,432,226,51
#Jourdain_2H6,537,27,76,4
#Lieutenant_2H6,1122,480,150,67
#MESSENGERS.1_2H6,258,75,36,11
#MESSENGERS.2_2H6,89,35,12,5
#MESSENGERS.Post_2H6,45,45,6,6
#MESSENGERS.X.1_2H6,40,24,5,3
#MESSENGERS.X.2_2H6,929,32,119,4
#MESSENGERS.X.3_2H6,212,59,28,8
#MURDERERS.0.1_2H6,3261,31,429,5
#MURDERERS.0.2_2H6,3244,17,427,2
#MURDERERS_2H6,101,0,14,0
#Master_2H6,1096,9,146,1
#Mate_2H6,1096,10,146,1
#MayorOfStAlbans_2H6,683,15,98,2
#Michael_2H6,2500,62,321,11
#NEIGHBORS.1_2H6,341,21,48,3
#NEIGHBORS.2_2H6,341,8,48,2
#NEIGHBORS.3_2H6,341,15,48,2
#OFFICERS_2H6,1322,0,167,0
#PETITIONERS.0.1_2H6,1695,78,226,11
#PETITIONERS.0.2_2H6,1670,39,223,6
#PETITIONERS_2H6,280,4,43,1
#PRENTICES.1_2H6,341,10,48,2
#PRENTICES.2_2H6,341,14,48,2
#PRENTICES.3_2H6,341,0,48,0
#QueenMargaret_1H6,12402,2503,1643,325
#RichardIII_R3,1068,195,137,25
#SERVANTS.GLOUCESTER.0.1_2H6,870,13,106,2
#SERVANTS.GLOUCESTER_2H6,709,0,87,0
#SERVANTS.IDEN_2H6,620,0,70,0
#SERVANTS.SUFFOLK_2H6,22,0,3,0
#SERVANTS.YORK.1_2H6,14,0,2,0
#SOLDIERS.1_2H6,65,4,9,1
#SOLDIERS.YORK_2H6,652,0,82,0
#SOLDIERS_2H6,465,0,60,0
#Salisbury_2H6,7205,723,946,96
#Sawyer_2H6,1155,32,156,5
#Saye_2H6,1197,361,157,48
#Scales_2H6,102,64,13,8
#Sheriff_2H6,725,34,87,4
#SimpcoxWife_2H6,683,56,98,8
#Simpcox_2H6,632,167,92,26
#Smith_2H6,3044,164,397,24
#Somerset_1H6,8162,182,1070,26
#Southwell_2H6,537,0,76,0
#Spirit_2H6,121,61,18,9
#Stafford_2H6,694,112,92,16
#Stanley_2H6,782,61,94,7
#Suffolk_1H6,11403,2306,1518,305
#Thump_2H6,950,197,132,25
#Vaux_2H6,101,84,13,11
#Warwick_2H6,7441,1065,976,138
#Whitmore_2H6,1111,153,148,19
#WilliamStafford_2H6,597,46,78,7
#York_1H6,9906,2990,1298,399
