act,scene,n_tokens,n_lines,onstage
1,1,1239,166,#Brakenbury_R3 #Clarence_3H6 #GUARDS_R3 #Hastings_3H6 #RichardIII_R3
1,2,2058,284,#GENTLEMEN.0.1_R3 #GENTLEMEN_R3 #GUARDS_R3 #HenryVI_1H6 #LadyAnne_R3 #RichardIII_R3
1,3,2849,377,#Buckingham_R3 #Catesby_R3 #Dorset_R3 #Grey_R3 #Hastings_3H6 #MURDERERS.1_R3 #MURDERERS.2_R3 #QueenElizabeth_3H6 #QueenMargaret_1H6 #RichardIII_R3 #Rivers_3H6 #Stanley_R3
1,4,2147,297,#Brakenbury_R3 #Clarence_3H6 #Jailer_R3 #MURDERERS.1_R3 #MURDERERS.2_R3
2,1,1119,144,#Buckingham_R3 #Dorset_R3 #EdwardIV_3H6 #Grey_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Scales_R3 #Stanley_R3 #Woodeville_R3
2,2,1213,159,#Buckingham_R3 #ClarencesBoy_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #Hastings_3H6 #QueenElizabeth_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #Stanley_R3
2,3,399,51,#CITIZENS.1_R3 #CITIZENS.2_R3 #CITIZENS.3_R3
2,4,592,80,#Archbishop_R3 #DuchessOfYork_R3 #MESSENGERS.X.1_R3 #QueenElizabeth_3H6 #York_R3
3,1,1580,203,#ATTENDANTS.0_R3 #ATTENDANTS_R3 #Buckingham_R3 #Cardinal_R3 #Catesby_R3 #EdwardV_R3 #Hastings_3H6 #MayorOfLondon_R3 #RichardIII_R3 #York_R3
3,2,988,125,#Buckingham_R3 #Catesby_R3 #Hastings_3H6 #MESSENGERS.X.2_R3 #Pursuivant_R3 #SirJohn_R3 #Stanley_R3
3,3,197,26,#GUARDS_R3 #Grey_R3 #Ratcliffe_R3 #Rivers_3H6 #Vaughan_R3
3,4,861,109,#ATTENDANTS_R3 #BishopOfEly_R3 #Buckingham_R3 #Hastings_3H6 #Lovell_R3 #Norfolk_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3
3,5,816,112,#Buckingham_R3 #Catesby_R3 #Lovell_R3 #MayorOfLondon_R3 #Ratcliffe_R3 #RichardIII_R3
3,6,116,14,#Scrivener_R3
3,7,1883,249,#BISHOPS_R3 #Buckingham_R3 #CITIZENS.0_R3 #CITIZENS_R3 #Catesby_R3 #MayorOfLondon_R3 #RichardIII_R3
4,1,842,110,#Brakenbury_R3 #ClarencesDaughter_R3 #Dorset_R3 #DuchessOfYork_R3 #LadyAnne_R3 #QueenElizabeth_3H6 #Stanley_R3
4,2,922,127,#ATTENDANTS.0.1_R3 #ATTENDANTS_R3 #Buckingham_R3 #Catesby_R3 #Lovell_R3 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3 #Tyrrel_R3
4,3,439,61,#Ratcliffe_R3 #RichardIII_R3 #Tyrrel_R3
4,4,4266,570,#ATTENDANTS_R3 #Catesby_R3 #DuchessOfYork_R3 #MESSENGERS.1_R3 #MESSENGERS.2_R3 #MESSENGERS.3_R3 #MESSENGERS.4_R3 #QueenElizabeth_3H6 #QueenMargaret_1H6 #Ratcliffe_R3 #RichardIII_R3 #Stanley_R3
4,5,157,21,#SirChristopher_R3 #Stanley_R3
5,1,228,30,#Buckingham_R3 #GUARDS_R3 #Sheriff_R3
5,2,189,25,#Blunt_R3 #HenryVII_R3 #Herbert_R3 #Oxford_3H6 #SOLDIERS.RICHMOND_R3
5,3,2728,373,#ATTENDANTS.RICHMOND.0.1_R3 #ATTENDANTS.RICHMOND_R3 #Blunt_R3 #Brandon_R3 #Buckingham_R3 #Catesby_R3 #Clarence_3H6 #Dorset_R3 #EdwardV_R3 #Grey_R3 #Hastings_3H6 #HenryVII_R3 #HenryVI_1H6 #Herbert_R3 #LadyAnne_R3 #MESSENGERS.X.3_R3 #Norfolk_R3 #Oxford_3H6 #PrinceEdward_3H6 #Ratcliffe_R3 #RichardIII_R3 #Rivers_3H6 #SOLDIERS.RICHARD_R3 #SOLDIERS.RICHMOND_R3 #Stanley_R3 #Surrey_R3 #Vaughan_R3 #York_R3
5,4,110,13,#Catesby_R3 #Norfolk_R3 #RichardIII_R3 #SOLDIERS.RICHARD_R3
5,5,315,41,#ATTENDANTS.RICHMOND_R3 #HenryVII_R3 #SOLDIERS.RICHMOND_R3 #Stanley_R3
