tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,next,act,scene,onstage,stagegroup_raw,speaker
div,prologue,PRO,,,,,,,,,,0,0,,0,
stage,entrance,SD PRO.1,,stg-0000.1,{'#Prologue_Tro'},,,,,,,0,0,#Prologue_Tro,1,
w,,SD PRO.1,Enter,fs-tro-0000010,,,,,,,,0,0,#Prologue_Tro,1,
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,SD PRO.1,the,fs-tro-0000030,,,,,,,,0,0,#Prologue_Tro,1,
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,SD PRO.1,Prologue,fs-tro-0000050,,,,,,,,0,0,#Prologue_Tro,1,
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,SD PRO.1,in,fs-tro-0000070,,,,,,,,0,0,#Prologue_Tro,1,
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,SD PRO.1,armor,fs-tro-0000090,,,,,,,,0,0,#Prologue_Tro,1,
pc,,SD PRO.1,.,fs-tro-0000100,,,,,,,,0,0,#Prologue_Tro,1,
sp,,,,sp-0001,{'#Prologue_Tro'},,,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
l,,PRO.1,,ftln-0001,,,,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
w,,PRO.1,In,fs-tro-0000120,,in,#acp-p,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.1,Troy,fs-tro-0000140,,Troy,#n1-nn,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.1,there,fs-tro-0000160,,there,#acp-av,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.1,lies,fs-tro-0000180,,lie,#vvz,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.1,the,fs-tro-0000200,,the,#d,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.1,scene,fs-tro-0000220,,scene,#n1,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
pc,,PRO.1,.,fs-tro-0000230,,,,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.1,From,fs-tro-0000250,,from,#acp-p,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.1,isles,fs-tro-0000270,,isle,#n2,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.1,of,fs-tro-0000290,,of,#acp-p,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.1,Greece,fs-tro-0000310,,Greece,#n1-nn,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
l,,PRO.2,,ftln-0002,,,,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
w,,PRO.2,The,fs-tro-0000320,,the,#d,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.2,princes,fs-tro-0000340,,prince,#n2,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.2,orgulous,fs-tro-0000360,,orgulous,#j,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
pc,,PRO.2,",",fs-tro-0000370,,,,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.2,their,fs-tro-0000390,,their,#po,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.2,high,fs-tro-0000410,,high,#j,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.2,blood,fs-tro-0000430,,blood,#n1,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.2,chafed,fs-tro-0000450,,chafe,#vvn,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
pc,,PRO.2,",",fs-tro-0000460,,,,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
l,,PRO.3,,ftln-0003,,,,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
w,,PRO.3,Have,fs-tro-0000470,,have,#vvb,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.3,to,fs-tro-0000490,,to,#acp-p,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.3,the,fs-tro-0000510,,the,#d,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.3,port,fs-tro-0000530,,port,#n1,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.3,of,fs-tro-0000550,,of,#acp-p,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.3,Athens,fs-tro-0000570,,Athens,#n1-nn,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.3,sent,fs-tro-0000590,,send,#vvn,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.3,their,fs-tro-0000610,,their,#po,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
w,,PRO.3,ships,fs-tro-0000630,,ship,#n2,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
l,,PRO.4,,ftln-0004,,,,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
w,,PRO.4,Fraught,fs-tro-0000640,,fraught,#vvn,,,,,0,0,#Prologue_Tro,1,#Prologue_Tro
c,,, ,,,,,,,,,0,0,#Prologue_Tro,1,
