tag,type,n,text,xml:id,who,lemma,ana,part,next,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Valentine_TGV', '#Proteus_TGV'}",,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,SD 1.1.0,Enter,fs-tgv-0000070,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,SD 1.1.0,Valentine,fs-tgv-0000090,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,SD 1.1.0,and,fs-tgv-0000110,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,SD 1.1.0,Proteus,fs-tgv-0000130,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
pc,,SD 1.1.0,.,fs-tgv-0000140,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
sp,,,,sp-0001,{'#Valentine_TGV'},,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.1,,ftln-0001,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
w,,1.1.1,Cease,fs-tgv-0000160,,cease,#vvb,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.1,to,fs-tgv-0000180,,to,#acp-cs,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.1,persuade,fs-tgv-0000200,,persuade,#vvi,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.1,",",fs-tgv-0000210,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.1,my,fs-tgv-0000230,,my,#po,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.1,loving,fs-tgv-0000250,,love,#j_vg,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.1,Proteus,fs-tgv-0000270,,Proteus,#n1-nn,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.1,.,fs-tgv-0000280,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.2,,ftln-0002,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
