tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#COMMONERS.Cobbler_JC', '#Flavius_JC', '#Marullus_JC', '#COMMONERS.Carpenter_JC', '#COMMONERS_JC'}",,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
w,,SD 1.1.0,Enter,fs-jc-0000070,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
c,,, ,,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
w,,SD 1.1.0,Flavius,fs-jc-0000090,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
pc,,SD 1.1.0,",",fs-jc-0000100,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
c,,, ,,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
w,,SD 1.1.0,Marullus,fs-jc-0000120,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
pc,,SD 1.1.0,",",fs-jc-0000130,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
c,,, ,,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
w,,SD 1.1.0,and,fs-jc-0000150,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
c,,, ,,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
w,,SD 1.1.0,certain,fs-jc-0000170,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
c,,, ,,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
w,,SD 1.1.0,Commoners,fs-jc-0000190,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
pc,,SD 1.1.0,",",fs-jc-0000200,,,,,,,1,1,#COMMONERS.Carpenter_JC #COMMONERS.Cobbler_JC #COMMONERS_JC #Flavius_JC #Marullus_JC,1,
