tag,type,n,text,xml:id,who,ana,lemma,rendition,part,prev,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Shipmaster_Tmp', '#Boatswain_Tmp'}",,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
stage,sound,SD 1.1.0,,snd-0000a,,thunder,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,A,fs-tmp-0000070,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,tempestuous,fs-tmp-0000090,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,noise,fs-tmp-0000110,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,of,fs-tmp-0000130,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,thunder,fs-tmp-0000150,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,and,fs-tmp-0000170,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,lightning,fs-tmp-0000190,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,heard,fs-tmp-0000210,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
pc,,SD 1.1.0,.,fs-tmp-0000220,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,Enter,fs-tmp-0000230,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,a,fs-tmp-0000250,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,Shipmaster,fs-tmp-0000270,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
w,,SD 1.1.0,and,fs-tmp-0000290,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
c,,, ,,,,,,,,1,1,#Boatswain_Tmp #Shipmaster_Tmp,1,
