tag,type,n,text,xml:id,who,lemma,ana,rendition,part,prev,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Orlando_AYL', '#Adam_AYL'}",,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,SD 1.1.0,Enter,fs-ayl-0000070,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,SD 1.1.0,Orlando,fs-ayl-0000090,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,SD 1.1.0,and,fs-ayl-0000110,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,SD 1.1.0,Adam,fs-ayl-0000130,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
pc,,SD 1.1.0,.,fs-ayl-0000140,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
sp,,,,sp-0001,{'#Orlando_AYL'},,,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
p,,,,p-0001,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
lb,,1.1.1,,ftln-0001,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
w,,1.1.1,As,fs-ayl-0000160,,as,#acp-cs,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,1.1.1,I,fs-ayl-0000180,,i,#pns,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,1.1.1,remember,fs-ayl-0000200,,remember,#vvb,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
pc,,1.1.1,",",fs-ayl-0000210,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,1.1.1,Adam,fs-ayl-0000230,,Adam,#n1-nn,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
pc,,1.1.1,",",fs-ayl-0000240,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,1.1.1,it,fs-ayl-0000260,,it,#pn,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,1.1.1,was,fs-ayl-0000280,,be,#vvd,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
w,,1.1.1,upon,fs-ayl-0000300,,upon,#acp-p,,,,1,1,#Adam_AYL #Orlando_AYL,1,#Orlando_AYL
c,,, ,,,,,,,,1,1,#Adam_AYL #Orlando_AYL,1,
