tag,type,n,text,xml:id,who,lemma,ana,rendition,part,prev,next,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,{'#CITIZENS.ROMAN_Cor'},,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,Enter,fs-cor-0000070,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,a,fs-cor-0000090,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,company,fs-cor-0000110,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,of,fs-cor-0000130,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,mutinous,fs-cor-0000150,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,Citizens,fs-cor-0000170,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,with,fs-cor-0000190,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,staves,fs-cor-0000210,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
pc,,SD 1.1.0,",",fs-cor-0000220,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,clubs,fs-cor-0000230,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
pc,,SD 1.1.0,",",fs-cor-0000240,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,and,fs-cor-0000260,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,other,fs-cor-0000280,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
c,,, ,,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
w,,SD 1.1.0,weapons,fs-cor-0000300,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
pc,,SD 1.1.0,.,fs-cor-0000310,,,,,,,,1,1,#CITIZENS.ROMAN_Cor,1,
sp,,,,sp-0001,{'#CITIZENS.ROMAN.0.1_Cor'},,,,,,,1,1,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,2,#CITIZENS.ROMAN.0.1_Cor
p,,,,p-0001,,,,,,,,1,1,#CITIZENS.ROMAN.0.1_Cor #CITIZENS.ROMAN_Cor,2,
