tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Demetrius_Ant', '#Philo_Ant'}",,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,SD 1.1.0,Enter,fs-ant-0000070,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
c,,, ,,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,SD 1.1.0,Demetrius,fs-ant-0000090,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
c,,, ,,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,SD 1.1.0,and,fs-ant-0000110,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
c,,, ,,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,SD 1.1.0,Philo,fs-ant-0000130,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
pc,,SD 1.1.0,.,fs-ant-0000140,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
sp,,,,sp-0001,{'#Philo_Ant'},,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
l,,1.1.1,,ftln-0001,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
w,,1.1.1,Nay,fs-ant-0000160,,nay,#uh,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
pc,,1.1.1,",",fs-ant-0000170,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
c,,, ,,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,1.1.1,but,fs-ant-0000190,,but,#acp-cc,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
c,,, ,,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,1.1.1,this,fs-ant-0000210,,this,#d,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
c,,, ,,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,1.1.1,dotage,fs-ant-0000230,,dotage,#n1,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
c,,, ,,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,1.1.1,of,fs-ant-0000250,,of,#acp-p,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
c,,, ,,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,1.1.1,our,fs-ant-0000270,,our,#po,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
c,,, ,,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,
w,,1.1.1,general’s,fs-ant-0000290,,general,#n1g,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
l,,1.1.2,,ftln-0002,,,,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
w,,1.1.2,O’erflows,fs-ant-0000300,,overflow,#vvz,,,,1,1,#Demetrius_Ant #Philo_Ant,1,#Philo_Ant
