tag,type,n,text,xml:id,who,lemma,ana,part,next,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#LORDS_R2', '#ATTENDANTS_R2', '#RichardII_R2', '#Gaunt_R2'}",,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,Enter,fs-r2-0000070,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,King,fs-r2-0000090,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,Richard,fs-r2-0000110,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
pc,,SD 1.1.0,",",fs-r2-0000120,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,John,fs-r2-0000140,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,of,fs-r2-0000160,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,Gaunt,fs-r2-0000180,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
pc,,SD 1.1.0,",",fs-r2-0000190,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,with,fs-r2-0000210,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,other,fs-r2-0000230,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,Nobles,fs-r2-0000250,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
