tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000.1,"{'#ATTENDANTS.ORSINO.Curio_TN', '#ATTENDANTS.ORSINO_TN', '#Orsino_TN', '#MUSICIANS_TN'}",,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
w,,SD 1.1.0,Enter,fs-tn-0000070,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
w,,SD 1.1.0,Orsino,fs-tn-0000090,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
pc,,SD 1.1.0,",",fs-tn-0000100,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
w,,SD 1.1.0,Duke,fs-tn-0000120,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
w,,SD 1.1.0,of,fs-tn-0000140,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
w,,SD 1.1.0,Illyria,fs-tn-0000160,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
pc,,SD 1.1.0,",",fs-tn-0000170,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
w,,SD 1.1.0,Curio,fs-tn-0000190,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
pc,,SD 1.1.0,",",fs-tn-0000200,,,,,,,1,1,#ATTENDANTS.ORSINO.Curio_TN #ATTENDANTS.ORSINO_TN #MUSICIANS_TN #Orsino_TN,1,
