tag,type,n,text,xml:id,who,lemma,ana,part,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Bedford_H5', '#ATTENDANTS_1H4', '#HenryIV_1H4', '#Westmoreland_1H4'}",,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,Enter,fs-1h4-0000070,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,the,fs-1h4-0000090,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,King,fs-1h4-0000110,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
pc,,SD 1.1.0,",",fs-1h4-0000120,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,Lord,fs-1h4-0000140,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,John,fs-1h4-0000160,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,of,fs-1h4-0000180,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,Lancaster,fs-1h4-0000200,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
pc,,SD 1.1.0,",",fs-1h4-0000210,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,and,fs-1h4-0000230,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
