tag,type,n,text,xml:id,who,ana,lemma,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Escalus_MM', '#ATTENDANTS_MM', '#Duke_MM'}",,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,SD 1.1.0,Enter,fs-mm-0000070,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,SD 1.1.0,Duke,fs-mm-0000090,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
pc,,SD 1.1.0,",",fs-mm-0000100,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,SD 1.1.0,Escalus,fs-mm-0000120,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
pc,,SD 1.1.0,",",fs-mm-0000130,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,SD 1.1.0,Lords,fs-mm-0000150,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
pc,,SD 1.1.0,",",fs-mm-0000160,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,SD 1.1.0,and,fs-mm-0000180,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,SD 1.1.0,Attendants,fs-mm-0000200,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
pc,,SD 1.1.0,.,fs-mm-0000210,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
sp,,,,sp-0001,{'#Duke_MM'},,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.1,,ftln-0001,,#short,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.1,Escalus,fs-mm-0000230,,#n1-nn,Escalus,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.1,.,fs-mm-0000240,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
sp,,,,sp-0002,{'#Escalus_MM'},,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Escalus_MM
l,,1.1.2,,ftln-0002,,#short,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Escalus_MM
w,,1.1.2,My,fs-mm-0000260,,#po,my,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Escalus_MM
