tag,type,n,text,xml:id,who,ana,lemma,part,rendition,next,prev,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Jeweler_Tim', '#Merchant_Tim', '#Poet_Tim', '#Painter_Tim'}",,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
w,,SD 1.1.0,Enter,fs-tim-0000070,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
c,,, ,,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
w,,SD 1.1.0,Poet,fs-tim-0000090,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
pc,,SD 1.1.0,",",fs-tim-0000100,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
c,,, ,,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
w,,SD 1.1.0,Painter,fs-tim-0000120,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
pc,,SD 1.1.0,",",fs-tim-0000130,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
c,,, ,,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
w,,SD 1.1.0,Jeweler,fs-tim-0000150,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
pc,,SD 1.1.0,",",fs-tim-0000160,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
c,,, ,,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
w,,SD 1.1.0,and,fs-tim-0000180,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
c,,, ,,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
w,,SD 1.1.0,Merchant,fs-tim-0000200,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
pc,,SD 1.1.0,",",fs-tim-0000210,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
c,,, ,,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
w,,SD 1.1.0,at,fs-tim-0000230,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
c,,, ,,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
w,,SD 1.1.0,several,fs-tim-0000250,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
c,,, ,,,,,,,,,1,1,#Jeweler_Tim #Merchant_Tim #Painter_Tim #Poet_Tim,1,
