tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Solanio_MV', '#Antonio_MV', '#Salarino_MV'}",,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
w,,SD 1.1.0,Enter,fs-mv-0000070,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
c,,, ,,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
w,,SD 1.1.0,Antonio,fs-mv-0000090,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
pc,,SD 1.1.0,",",fs-mv-0000100,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
c,,, ,,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
w,,SD 1.1.0,Salarino,fs-mv-0000120,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
pc,,SD 1.1.0,",",fs-mv-0000130,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
c,,, ,,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
w,,SD 1.1.0,and,fs-mv-0000150,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
c,,, ,,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
w,,SD 1.1.0,Solanio,fs-mv-0000170,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
pc,,SD 1.1.0,.,fs-mv-0000180,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
sp,,,,sp-0001,{'#Antonio_MV'},,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,#Antonio_MV
l,,1.1.1,,ftln-0001,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,#Antonio_MV
w,,1.1.1,In,fs-mv-0000200,,in,#acp-p,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,#Antonio_MV
c,,, ,,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
w,,1.1.1,sooth,fs-mv-0000220,,sooth,#n1,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,#Antonio_MV
c,,, ,,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
w,,1.1.1,I,fs-mv-0000240,,i,#pns,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,#Antonio_MV
c,,, ,,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
w,,1.1.1,know,fs-mv-0000260,,know,#vvb,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,#Antonio_MV
c,,, ,,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
w,,1.1.1,not,fs-mv-0000280,,not,#xx,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,#Antonio_MV
c,,, ,,,,,,,,1,1,#Antonio_MV #Salarino_MV #Solanio_MV,1,
