tag,type,n,text,xml:id,who,lemma,ana,rendition,part,prev,next,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,1,0,,0,
div,chorus,CHO,,,,,,,,,,1,0,,0,
stage,entrance,SD 1.CHO.0,,stg-0000,{'#Gower_Per'},,,,,,,1,0,#Gower_Per,1,
w,,SD 1.CHO.0,Enter,fs-per-0000070,,,,,,,,1,0,#Gower_Per,1,
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,SD 1.CHO.0,Gower,fs-per-0000090,,,,,,,,1,0,#Gower_Per,1,
pc,,SD 1.CHO.0,.,fs-per-0000100,,,,,,,,1,0,#Gower_Per,1,
sp,,,,sp-0001,{'#Gower_Per'},,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.1,,ftln-0001,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.1,To,fs-per-0000120,,to,#acp-cs,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.1,sing,fs-per-0000140,,sing,#vvi,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.1,a,fs-per-0000160,,a,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.1,song,fs-per-0000180,,song,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.1,that,fs-per-0000200,,that,#cs,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.1,old,fs-per-0000220,,old,#j,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.1,was,fs-per-0000240,,be,#vvd,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.1,sung,fs-per-0000260,,sing,#vvn,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.1,",",fs-per-0000270,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.2,,ftln-0002,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.2,From,fs-per-0000280,,from,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.2,ashes,fs-per-0000300,,ash,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.2,ancient,fs-per-0000320,,ancient,#j,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.2,Gower,fs-per-0000340,,Gower,#n1-nn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.2,is,fs-per-0000360,,be,#vvz,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.2,come,fs-per-0000380,,come,#vvn,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.2,",",fs-per-0000390,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.3,,ftln-0003,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.3,Assuming,fs-per-0000400,,assume,#vvg,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.3,man’s,fs-per-0000420,,man,#n1g,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.3,infirmities,fs-per-0000440,,infirmity,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.4,,ftln-0004,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.4,To,fs-per-0000450,,to,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.4,glad,fs-per-0000470,,glad,#j,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.4,your,fs-per-0000490,,your,#po,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.4,ear,fs-per-0000510,,ear,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.4,and,fs-per-0000530,,and,#cc,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.4,please,fs-per-0000550,,please,#vvi,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
