xml:id,corresp
ATTENDANTS.KING.0.1_AWW,#ATTENDANTS.KING_AWW
ATTENDANTS.KING.0.2_AWW,#ATTENDANTS.KING_AWW
ATTENDANTS.KING.0.3_AWW,#ATTENDANTS.KING_AWW
ATTENDANTS.KING.0.4_AWW,#ATTENDANTS.KING_AWW
ATTENDANTS.KING_AWW,#ATTENDANTS_AWW
ATTENDANTS_AWW,
Bertram_AWW,
CITIZENS_AWW,
Countess_AWW,
Diana_AWW,
Duke_AWW,
Epilogue_AWW,
Fool_AWW,
GENTLEMEN.1_AWW,#GENTLEMEN_AWW
GENTLEMEN.2_AWW,#GENTLEMEN_AWW
GENTLEMEN.3_AWW,#GENTLEMEN_AWW
GENTLEMEN_AWW,
Helen_AWW,
King_AWW,
LORDS.COURT.1_AWW,#LORDS_AWW
LORDS.COURT.2_AWW,#LORDS_AWW
LORDS.COURT.3_AWW,#LORDS_AWW
LORDS.COURT.4_AWW,#LORDS_AWW
LORDS.COURT_AWW,#LORDS_AWW
LORDS.DUMAINE.1_AWW,#LORDS_AWW
LORDS.DUMAINE.2_AWW,#LORDS_AWW
LORDS_AWW,
Lafew_AWW,
Mariana_AWW,
Page_AWW,
Parolles_AWW,
SOLDIERS.0.1_AWW,#SOLDIERS_AWW
SOLDIERS.0_AWW,#SOLDIERS_AWW
SOLDIERS.Interpreter_AWW,#SOLDIERS_AWW
SOLDIERS_AWW,
Servant_AWW,
Steward_AWW,
Widow_AWW,
