tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,next,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Countess_AWW', '#Helen_AWW', '#Lafew_AWW', '#Bertram_AWW'}",,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,Enter,fs-aww-0000070,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
c,,, ,,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,young,fs-aww-0000090,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
c,,, ,,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,Bertram,fs-aww-0000110,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
c,,, ,,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,Count,fs-aww-0000130,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
c,,, ,,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,of,fs-aww-0000150,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
c,,, ,,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,Rossillion,fs-aww-0000170,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
pc,,SD 1.1.0,",",fs-aww-0000180,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
c,,, ,,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,his,fs-aww-0000200,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
c,,, ,,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,mother,fs-aww-0000220,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
c,,, ,,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,the,fs-aww-0000230,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
c,,, ,,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
w,,SD 1.1.0,Countess,fs-aww-0000250,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
pc,,SD 1.1.0,",",fs-aww-0000260,,,,,,,,1,1,#Bertram_AWW #Countess_AWW #Helen_AWW #Lafew_AWW,1,
