tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Iago_Oth', '#Roderigo_Oth'}",,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,SD 1.1.0,Enter,fs-oth-0000070,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,SD 1.1.0,Roderigo,fs-oth-0000090,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,SD 1.1.0,and,fs-oth-0000110,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,SD 1.1.0,Iago,fs-oth-0000130,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
pc,,SD 1.1.0,.,fs-oth-0000140,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
sp,,,,sp-0001,{'#Roderigo_Oth'},,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
l,,1.1.1,,ftln-0001,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
w,,1.1.1,Tush,fs-oth-0000160,,tush,#uh,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
pc,,1.1.1,",",fs-oth-0000170,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,1.1.1,never,fs-oth-0000190,,never,#av-x,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,1.1.1,tell,fs-oth-0000210,,tell,#vvb,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,1.1.1,me,fs-oth-0000230,,i,#pno,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
pc,,1.1.1,!,fs-oth-0000240,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,1.1.1,I,fs-oth-0000260,,i,#pns,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,1.1.1,take,fs-oth-0000280,,take,#vvb,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
w,,1.1.1,it,fs-oth-0000300,,it,#pn,,,,1,1,#Iago_Oth #Roderigo_Oth,1,#Roderigo_Oth
c,,, ,,,,,,,,1,1,#Iago_Oth #Roderigo_Oth,1,
