tag,type,n,text,xml:id,who,lemma,ana,rendition,part,prev,next,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Gloucester_Lr', '#Kent_Lr', '#Edmund_Lr'}",,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,SD 1.1.0,Enter,fs-lr-0000070,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,SD 1.1.0,Kent,fs-lr-0000090,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
pc,,SD 1.1.0,",",fs-lr-0000100,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,SD 1.1.0,Gloucester,fs-lr-0000120,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
pc,,SD 1.1.0,",",fs-lr-0000130,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,SD 1.1.0,and,fs-lr-0000150,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,SD 1.1.0,Edmund,fs-lr-0000170,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
pc,,SD 1.1.0,.,fs-lr-0000180,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
sp,,,,sp-0001,{'#Kent_Lr'},,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
p,,,,p-0001,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
lb,,1.1.1,,ftln-0001,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
w,,1.1.1,I,fs-lr-0000200,,i,#pns,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.1,thought,fs-lr-0000220,,think,#vvd,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.1,the,fs-lr-0000240,,the,#d,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.1,King,fs-lr-0000260,,king,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
