xml:id,corresp
ATTENDANTS.0.1_WT,#ATTENDANTS_WT
ATTENDANTS.1_WT,#ATTENDANTS_WT
ATTENDANTS.2_WT,#ATTENDANTS_WT
ATTENDANTS.3_WT,#ATTENDANTS_WT
ATTENDANTS.PAULINA.0.1_WT,#ATTENDANTS.PAULINA_WT
ATTENDANTS.PAULINA_WT,#ATTENDANTS_WT
ATTENDANTS.X_WT,#ATTENDANTS_WT
ATTENDANTS_WT,
Antigonus_WT,
Archidamus_WT,
Autolycus_WT,
Bear_WT,
Camillo_WT,
Chorus_WT,
Cleomenes_WT,
Dion_WT,
Dorcas_WT,
Florizell_WT,
HERDSMEN_WT,
Hermione_WT,
Jailer_WT,
LADIES.0.1_WT,#LADIES.0_WT
LADIES.0.2_WT,#LADIES.0_WT
LADIES.0_WT,#LADIES_WT
LADIES.Emilia_WT,#LADIES_WT
LADIES_WT,
Leontes_WT,
MUSICIANS_WT,
Mamillius_WT,
Mopsa_WT,
OFFICERS.0.1_WT,OFFICERS_WT
OFFICERS_WT,
Paulina_WT,
Perdita.Infant_WT,#Perdita_WT
Perdita_WT,
Polixenes_WT,
SERVANTS.0_WT,#SERVANTS_WT
SERVANTS.SHEPHERD.1_WT,#SERVANTS.SHEPHERD_WT
SERVANTS.SHEPHERD_WT,#SERVANTS_WT
SERVANTS.X.1_WT,#SERVANTS_WT
SERVANTS.X.2_WT,#SERVANTS_WT
SERVANTS.X.3_WT,#SERVANTS_WT
SERVANTS_WT,
SHEPHERDS_WT,
Sailor_WT,
Shepherd_WT,
ShepherdsSon_WT,
,
