tag,type,n,text,xml:id,who,lemma,ana,rendition,part,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#HughEvans_Wiv', '#Shallow_2H4', '#Slender_Wiv'}",,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,SD 1.1.0,Enter,fs-wiv-0000070,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,SD 1.1.0,Justice,fs-wiv-0000090,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,SD 1.1.0,Shallow,fs-wiv-0000110,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
pc,,SD 1.1.0,",",fs-wiv-0000120,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,SD 1.1.0,Slender,fs-wiv-0000140,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
pc,,SD 1.1.0,",",fs-wiv-0000150,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,SD 1.1.0,and,fs-wiv-0000170,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,SD 1.1.0,Sir,fs-wiv-0000190,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,SD 1.1.0,Hugh,fs-wiv-0000210,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,SD 1.1.0,Evans,fs-wiv-0000230,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
pc,,SD 1.1.0,.,fs-wiv-0000240,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
sp,,,,sp-0001,{'#Shallow_2H4'},,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
p,,,,p-0001,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
lb,,1.1.1,,ftln-0001,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
w,,1.1.1,Sir,fs-wiv-0000260,,sir,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
