tag,type,n,text,xml:id,who,ana,rendition,lemma,part,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#TRIBUNES_Tit', '#SENATORS_Tit', '#ROMANS_Tit', '#Saturninus_Tit', '#Marcus_Tit', '#Bassianus_Tit'}",,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
stage,sound,SD 1.1.0,,snd-0000a,,flourish,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Flourish,fs-tit-0000070,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,.,fs-tit-0000080,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Enter,fs-tit-0000100,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,the,fs-tit-0000120,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Tribunes,fs-tit-0000140,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,(,fs-tit-0000160,,,roman,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,including,fs-tit-0000170,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Marcus,fs-tit-0000190,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
