tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Egeon_Err', '#Duke_Err', '#ATTENDANTS_Err', '#OFFICERS.Jailer_Err'}",,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
w,,SD 1.1.0,Enter,fs-err-0000070,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
w,,SD 1.1.0,Solinus,fs-err-0000090,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
w,,SD 1.1.0,the,fs-err-0000110,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
w,,SD 1.1.0,Duke,fs-err-0000130,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
w,,SD 1.1.0,of,fs-err-0000150,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
w,,SD 1.1.0,Ephesus,fs-err-0000170,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
pc,,SD 1.1.0,",",fs-err-0000180,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
w,,SD 1.1.0,with,fs-err-0000200,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
w,,SD 1.1.0,Egeon,fs-err-0000220,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
w,,SD 1.1.0,the,fs-err-0000240,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_Err #Duke_Err #Egeon_Err #OFFICERS.Jailer_Err,1,
