tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
div,prologue,PRO,,,,,,,,,0,0,,0,
stage,entrance,SD PRO.1,,stg-0000,{'#Chorus_H5'},,,,,,0,0,#Chorus_H5,1,
w,,SD PRO.1,Enter,fs-h5-0000020,,,,,,,0,0,#Chorus_H5,1,
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,SD PRO.1,Chorus,fs-h5-0000040,,,,,,,0,0,#Chorus_H5,1,
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,SD PRO.1,as,fs-h5-0000060,,,,,,,0,0,#Chorus_H5,1,
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,SD PRO.1,Prologue,fs-h5-0000080,,,,,,,0,0,#Chorus_H5,1,
pc,,SD PRO.1,.,fs-h5-0000090,,,,,,,0,0,#Chorus_H5,1,
sp,,,,sp-0001,{'#Chorus_H5'},,,,,,0,0,#Chorus_H5,1,#Chorus_H5
l,,PRO.1,,ftln-0001,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
w,,PRO.1,O,fs-h5-0000110,,oh,#uh,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.1,",",fs-h5-0000120,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.1,for,fs-h5-0000140,,for,#acp-p,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.1,a,fs-h5-0000160,,a,#d,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.1,muse,fs-h5-0000180,,muse,#n1,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.1,of,fs-h5-0000200,,of,#acp-p,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.1,fire,fs-h5-0000220,,fire,#n1,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.1,that,fs-h5-0000240,,that,#cs,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.1,would,fs-h5-0000260,,will,#vmd,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.1,ascend,fs-h5-0000280,,ascend,#vvi,,,,0,0,#Chorus_H5,1,#Chorus_H5
l,,PRO.2,,ftln-0002,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
w,,PRO.2,The,fs-h5-0000290,,the,#d,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.2,brightest,fs-h5-0000310,,bright,#j-s,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.2,heaven,fs-h5-0000330,,heaven,#n1,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.2,of,fs-h5-0000350,,of,#acp-p,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.2,invention,fs-h5-0000370,,invention,#n1,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.2,!,fs-h5-0000380,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
l,,PRO.3,,ftln-0003,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
w,,PRO.3,A,fs-h5-0000390,,a,#d,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.3,kingdom,fs-h5-0000410,,kingdom,#n1,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.3,for,fs-h5-0000430,,for,#acp-p,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.3,a,fs-h5-0000450,,a,#d,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.3,stage,fs-h5-0000470,,stage,#n1,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.3,",",fs-h5-0000480,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.3,princes,fs-h5-0000500,,prince,#n2,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.3,to,fs-h5-0000520,,to,#acp-cs,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.3,act,fs-h5-0000540,,act,#vvi,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.3,",",fs-h5-0000550,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
l,,PRO.4,,ftln-0004,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
w,,PRO.4,And,fs-h5-0000560,,and,#cc,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.4,monarchs,fs-h5-0000580,,monarch,#n2,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.4,to,fs-h5-0000600,,to,#acp-cs,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.4,behold,fs-h5-0000620,,behold,#vvi,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.4,the,fs-h5-0000640,,the,#d,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.4,swelling,fs-h5-0000660,,swell,#j_vg,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.4,scene,fs-h5-0000680,,scene,#n1,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.4,!,fs-h5-0000690,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
l,,PRO.5,,ftln-0005,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
w,,PRO.5,Then,fs-h5-0000700,,then,#av,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.5,should,fs-h5-0000720,,shall,#vmd,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.5,the,fs-h5-0000740,,the,#d,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.5,warlike,fs-h5-0000760,,warlike,#j,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.5,Harry,fs-h5-0000780,,Harry,#n1-nn,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.5,",",fs-h5-0000790,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.5,like,fs-h5-0000810,,like,#acp-p,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.5,himself,fs-h5-0000830,,himself,#px,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.5,",",fs-h5-0000840,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
l,,PRO.6,,ftln-0006,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
w,,PRO.6,Assume,fs-h5-0000850,,assume,#vvb,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.6,the,fs-h5-0000870,,the,#d,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.6,port,fs-h5-0000890,,port,#n1,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.6,of,fs-h5-0000910,,of,#acp-p,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.6,Mars,fs-h5-0000930,,Mars,#n1-nn,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.6,",",fs-h5-0000940,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.6,and,fs-h5-0000960,,and,#cc,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.6,at,fs-h5-0000980,,at,#acp-p,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.6,his,fs-h5-0001000,,his,#po,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.6,heels,fs-h5-0001020,,heel,#n2,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.6,",",fs-h5-0001030,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
l,,PRO.7,,ftln-0007,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
w,,PRO.7,Leashed,fs-h5-0001040,,leash,#vvn,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.7,in,fs-h5-0001060,,in,#acp-p,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.7,like,fs-h5-0001080,,like,#acp-p,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.7,hounds,fs-h5-0001100,,hound,#n2,,,,0,0,#Chorus_H5,1,#Chorus_H5
pc,,PRO.7,",",fs-h5-0001110,,,,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
w,,PRO.7,should,fs-h5-0001130,,shall,#vmd,,,,0,0,#Chorus_H5,1,#Chorus_H5
c,,, ,,,,,,,,0,0,#Chorus_H5,1,
