tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,next,act,scene,onstage,stagegroup_raw,speaker
div,prologue,PRO,,,,,,,,,,0,0,,0,
stage,entrance,SD PRO.0,,stg-0000,{'#Prologue_H8'},,,,,,,0,0,#Prologue_H8,1,
w,,SD PRO.0,Enter,fs-h8-0000010,,,,,,,,0,0,#Prologue_H8,1,
c,,, ,,,,,,,,,0,0,#Prologue_H8,1,
w,,SD PRO.0,Prologue,fs-h8-0000030,,,,,,,,0,0,#Prologue_H8,1,
pc,,SD PRO.0,.,fs-h8-0000040,,,,,,,,0,0,#Prologue_H8,1,
sp,,,,sp-0001,{'#Prologue_H8'},,,,,,,0,0,#Prologue_H8,1,#Prologue_H8
l,,PRO.1,,ftln-0001,,,,,,,,0,0,#Prologue_H8,1,#Prologue_H8
w,,PRO.1,I,fs-h8-0000060,,i,#pns,,,,,0,0,#Prologue_H8,1,#Prologue_H8
c,,, ,,,,,,,,,0,0,#Prologue_H8,1,
w,,PRO.1,come,fs-h8-0000080,,come,#vvb,,,,,0,0,#Prologue_H8,1,#Prologue_H8
c,,, ,,,,,,,,,0,0,#Prologue_H8,1,
w,,PRO.1,no,fs-h8-0000100,,no,#av-x_d,,,,,0,0,#Prologue_H8,1,#Prologue_H8
c,,, ,,,,,,,,,0,0,#Prologue_H8,1,
w,,PRO.1,more,fs-h8-0000120,,more,#d-c,,,,,0,0,#Prologue_H8,1,#Prologue_H8
c,,, ,,,,,,,,,0,0,#Prologue_H8,1,
w,,PRO.1,to,fs-h8-0000140,,to,#acp-cs,,,,,0,0,#Prologue_H8,1,#Prologue_H8
c,,, ,,,,,,,,,0,0,#Prologue_H8,1,
w,,PRO.1,make,fs-h8-0000160,,make,#vvi,,,,,0,0,#Prologue_H8,1,#Prologue_H8
c,,, ,,,,,,,,,0,0,#Prologue_H8,1,
w,,PRO.1,you,fs-h8-0000180,,you,#pn,,,,,0,0,#Prologue_H8,1,#Prologue_H8
c,,, ,,,,,,,,,0,0,#Prologue_H8,1,
