tag,type,n,text,xml:id,who,lemma,ana,rendition,part,prev,act,scene,onstage,stagegroup_raw,speaker
div,act,1,,,,,,,,,1,0,,0,
div,scene,1,,,,,,,,,1,1,,0,
stage,entrance,SD 1.1.0,,stg-0000,"{'#Hero_Ado', '#Leonato_Ado', '#Beatrice_Ado', '#MESSENGERS.LEONATO.1_Ado'}",,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,Enter,fs-ado-0000070,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,Leonato,fs-ado-0000090,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
pc,,SD 1.1.0,",",fs-ado-0000100,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,Governor,fs-ado-0000120,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,of,fs-ado-0000140,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,Messina,fs-ado-0000160,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
pc,,SD 1.1.0,",",fs-ado-0000170,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,Hero,fs-ado-0000190,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,his,fs-ado-0000210,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,daughter,fs-ado-0000230,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
