act,scene,n_tokens,n_lines,onstage
0,0,224,31,#Prologue_Tro
1,1,928,120,#Aeneas_Tro #Pandarus_Tro #Troilus_Tro
1,2,2147,302,#Alexander_Tro #Boy_Tro #Cressida_Tro #Pandarus_Tro
1,3,2920,399,#ATTENDANTS.GREEK_Tro #Aeneas_Tro #Agamemnon_Tro #Diomedes_Tro #Menelaus_Tro #Nestor_Tro #Trumpeter_Tro #Ulysses_Tro
2,1,861,134,#Achilles_Tro #Ajax_Tro #Patroclus_Tro #Thersites_Tro
2,2,1648,223,#Cassandra_Tro #Hector_Tro #Helenus_Tro #Paris_Tro #Priam_Tro #Troilus_Tro
2,3,1940,278,#Achilles_Tro #Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Nestor_Tro #Patroclus_Tro #Thersites_Tro #Ulysses_Tro
3,1,1046,158,#ATTENDANTS.TROJAN_Tro #Helen_Tro #Pandarus_Tro #Paris_Tro #SERVANTS.PARIS.1_Tro
3,2,1638,214,#Cressida_Tro #Pandarus_Tro #SERVANTS.TROILUS.1_Tro #Troilus_Tro
3,3,2341,327,#Achilles_Tro #Agamemnon_Tro #Ajax_Tro #Calchas_Tro #Diomedes_Tro #Menelaus_Tro #Nestor_Tro #Patroclus_Tro #Thersites_Tro #Ulysses_Tro
4,1,618,85,#ATTENDANTS.GREEK_Tro #Aeneas_Tro #Antenor_Tro #Deiphobus_Tro #Diomedes_Tro #Paris_Tro #SERVANTS.AENEAS.1_Tro
4,2,857,115,#Aeneas_Tro #Cressida_Tro #Pandarus_Tro #Troilus_Tro
4,3,94,13,#Aeneas_Tro #Antenor_Tro #Deiphobus_Tro #Diomedes_Tro #Paris_Tro #Troilus_Tro
4,4,1154,160,#Aeneas_Tro #Antenor_Tro #Cressida_Tro #Deiphobus_Tro #Diomedes_Tro #Pandarus_Tro #Paris_Tro #Troilus_Tro
4,5,2289,323,#ATTENDANTS.GREEK_Tro #ATTENDANTS.TROJAN_Tro #Achilles_Tro #Aeneas_Tro #Agamemnon_Tro #Ajax_Tro #Cressida_Tro #Diomedes_Tro #Hector_Tro #Helenus_Tro #Menelaus_Tro #Nestor_Tro #Paris_Tro #Patroclus_Tro #Troilus_Tro #Trumpeter_Tro #Ulysses_Tro
5,1,763,106,#Achilles_Tro #Agamemnon_Tro #Ajax_Tro #Diomedes_Tro #Hector_Tro #Menelaus_Tro #Nestor_Tro #Patroclus_Tro #Thersites_Tro #Troilus_Tro #Ulysses_Tro
5,2,1445,227,#Aeneas_Tro #Calchas_Tro #Cressida_Tro #Diomedes_Tro #Thersites_Tro #Troilus_Tro #Ulysses_Tro
5,3,884,123,#Andromache_Tro #Cassandra_Tro #Hector_Tro #Pandarus_Tro #Priam_Tro #Troilus_Tro
5,4,279,38,#Diomedes_Tro #Hector_Tro #Thersites_Tro #Troilus_Tro
5,5,331,51,#Achilles_Tro #Agamemnon_Tro #Ajax_Tro #Diomedes_Tro #Nestor_Tro #Patroclus_Tro #SERVANTS.DIOMEDES.1_Tro #SOLDIERS.GREEK_Tro #Ulysses_Tro
5,6,253,35,#Achilles_Tro #Ajax_Tro #Diomedes_Tro #Hector_Tro #SOLDIERS.GREEK.1_Tro #Troilus_Tro
5,7,61,8,#Achilles_Tro #MYRMIDONS_Tro
5,8,104,15,#Bastard_Tro #Menelaus_Tro #Paris_Tro #Thersites_Tro
5,9,176,22,#Achilles_Tro #Hector_Tro #MYRMIDONS.0.1_Tro #MYRMIDONS_Tro #SOLDIERS.GREEK.1_Tro
5,10,73,10,#Agamemnon_Tro #Ajax_Tro #Diomedes_Tro #Menelaus_Tro #Nestor_Tro #SOLDIERS.GREEK_Tro #SOLDIERS_Tro
5,11,456,59,#Aeneas_Tro #Antenor_Tro #Deiphobus_Tro #Pandarus_Tro #Paris_Tro #SOLDIERS.TROJAN_Tro #Troilus_Tro
