node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS_Tit,2888,12,382,2
#Aaron_Tit,8104,2805,1062,359
#Aemilius_Tit,1875,132,247,18
#Alarbus_Tit,454,0,60,0
#Bassianus_Tit,4250,461,562,63
#Caius_Tit,1388,0,180,0
#Captain_Tit,2048,41,281,6
#Chiron_Tit,8457,403,1114,53
#CountryFellow_Tit,422,173,57,25
#Demetrius_Tit,8457,720,1114,94
#GOTHS.0.1_Tit,2807,66,359,9
#GOTHS.0.2_Tit,1189,160,148,20
#GOTHS.0_Tit,475,28,60,4
#GOTHS_Tit,2878,10,369,1
#GUARDS_Tit,832,0,117,0
#Infant_Tit,3774,0,484,0
#Lavinia_Tit,8642,457,1110,59
#Lucius_Tit,8415,1412,1092,181
#Marcus_Tit,9268,2447,1201,320
#Martius_Tit,3907,273,516,35
#Messenger_Tit,56,56,7,7
#Mutius_Tit,2301,25,313,4
#Nurse_Tit,959,136,125,19
#Publius_Tit,1388,112,180,14
#Quintus_Tit,3907,227,516,27
#ROMANS.0_Tit,3245,0,436,0
#ROMANS_Tit,2501,0,344,0
#SENATORS_Tit,1322,0,184,0
#SERVANTS_Tit,1723,0,225,0
#Saturninus_Tit,5252,1590,703,213
#Sempronius_Tit,944,0,124,0
#TRIBUNES.0.1_Tit,199,21,25,3
#TRIBUNES_Tit,2749,31,370,5
#Tamora_Tit,8090,1981,1068,261
#Titus_Tit,11605,5712,1503,730
#Valentine_Tit,444,0,56,0
#YoungLucius_Tit,4093,350,527,44
