node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.0_Oth,1128,0,145,0
#ATTENDANTS_Oth,2518,0,376,0
#Bianca_Oth,2349,270,336,36
#Brabantio_Oth,3030,1045,435,148
#Cassio_Oth,10158,1961,1465,294
#Clown_Oth,352,227,50,28
#Desdemona_Oth,9660,2755,1403,396
#Duke_Oth,2299,476,335,74
#Emilia_Oth,7639,1823,1093,257
#GENTLEMEN.0.1_Oth,5,5,1,1
#GENTLEMEN.1_Oth,1657,19,233,3
#GENTLEMEN.2_Oth,679,88,101,15
#GENTLEMEN.3_Oth,1511,113,212,17
#GENTLEMEN_Oth,431,2,65,1
#Gratiano_Oth,2226,165,328,27
#Herald_Oth,101,101,12,12
#Iago_Oth,18441,8439,2592,1131
#Lodovico_Oth,1996,529,310,79
#MESSENGERS.X.1_Oth,71,62,11,10
#MESSENGERS.X.2_Oth,1271,19,177,2
#MUSICIANS.0.1_Oth,410,23,60,5
#MUSICIANS_Oth,145,0,21,0
#Montano_Oth,4385,420,629,64
#OFFICERS.0.1_Oth,3118,9,432,2
#OFFICERS.0_Oth,2849,0,393,0
#OFFICERS_Oth,3556,19,523,3
#Othello_Oth,13622,6263,1984,924
#Roderigo_Oth,7814,861,1083,121
#SENATORS.0.1_Oth,3205,181,445,28
#SENATORS.0.2_Oth,3188,38,442,5
#SENATORS_Oth,2299,6,335,1
#SERVANTS.BRABANTIO_Oth,205,0,29,0
#SERVANTS_Oth,1443,0,211,0
#Sailor_Oth,33,24,6,4
