act,scene,n_tokens,n_lines,onstage
1,1,497,72,#Alexas_Ant #Antony_JC #Charmian_Ant #Cleopatra_Ant #Demetrius_Ant #EUNUCHS_Ant #Iras_Ant #MESSENGERS.X.1_Ant #Mardian_Ant #Philo_Ant
1,2,1419,214,#Alexas_Ant #Antony_JC #Charmian_Ant #Cleopatra_Ant #Enobarbus_Ant #Iras_Ant #MESSENGERS.ANTONY.1_Ant #MESSENGERS.ANTONY.2_Ant #MESSENGERS.ANTONY.3_Ant #Mardian_Ant #SERVANTS.Lamprius_Ant #SERVANTS.Lucillius_Ant #SERVANTS.Rannius_Ant #Soothsayer_Ant
1,3,851,127,#Alexas_Ant #Antony_JC #Charmian_Ant #Cleopatra_Ant #Iras_Ant
1,4,677,97,#ATTENDANTS.ROMAN_Ant #Lepidus_JC #MESSENGERS.CAESAR.1_Ant #MESSENGERS.CAESAR.2_Ant #Octavius_JC
1,5,599,93,#Alexas_Ant #Charmian_Ant #Cleopatra_Ant #Iras_Ant #Mardian_Ant
2,1,414,62,#Menas_Ant #Menecrates_Ant #Pompey_Ant #Varrius_Ant
2,2,1910,288,#Agrippa_Ant #Antony_JC #Enobarbus_Ant #Lepidus_JC #Maecenas_Ant #Octavius_JC #Ventidius_Ant
2,3,329,49,#Antony_JC #Octavia_Ant #Octavius_JC #Soothsayer_Ant #Ventidius_Ant
2,4,71,14,#Agrippa_Ant #Lepidus_JC #Maecenas_Ant
2,5,987,149,#Alexas_Ant #Charmian_Ant #Cleopatra_Ant #Iras_Ant #MESSENGERS.X.2_Ant #Mardian_Ant
2,6,1066,166,#Agrippa_Ant #Antony_JC #Enobarbus_Ant #Lepidus_JC #Maecenas_Ant #Menas_Ant #Octavius_JC #Pompey_Ant #SOLDIERS_Ant
2,7,1045,162,#Agrippa_Ant #Antony_JC #Boy_Ant #CAPTAINS_Ant #Enobarbus_Ant #Lepidus_JC #Maecenas_Ant #Menas_Ant #Octavius_JC #Pompey_Ant #SERVANTS.0.1_Ant #SERVANTS.0.2_Ant #SERVANTS_Ant
