node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#Antonio_TGV,572,262,78,35
#Crab_TGV,1487,0,178,0
#Duke_TGV,2933,1529,385,201
#Eglamour_TGV,439,192,63,28
#Host_TGV,787,158,121,25
#Julia_TGV,5595,2430,775,329
#Lance_TGV,2827,1852,370,216
#Lucetta_TGV,1460,556,193,73
#MUSICIANS_TGV,421,0,71,0
#OUTLAWS.1_TGV,1066,159,146,22
#OUTLAWS.2_TGV,1036,105,142,16
#OUTLAWS.3_TGV,1036,210,142,26
#Pantino_TGV,818,311,113,45
#Proteus_TGV,7351,3350,1027,469
#SERVANTS.1_TGV,14,9,2,1
#Speed_TGV,4737,1456,686,209
#Sylvia_TGV,3704,1138,528,162
#Thurio_TGV,2770,372,404,55
#Valentine_TGV,6577,2821,923,401
