node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.0_Lr,966,0,142,0
#ATTENDANTS.ALBANY_Lr,72,33,13,5
#ATTENDANTS.CORDELIA.1_Lr,1604,163,233,26
#ATTENDANTS.CORDELIA_Lr,211,0,32,0
#ATTENDANTS.LEAR.0.3_Lr,2205,105,323,14
#ATTENDANTS.LEAR_Lr,2033,0,295,0
#ATTENDANTS.REGAN_Lr,654,0,97,0
#ATTENDANTS.X.1_Lr,255,3,39,1
#ATTENDANTS.X.2_Lr,2238,25,327,4
#ATTENDANTS.X.3_Lr,432,123,62,19
#ATTENDANTS.X.4_Lr,432,229,66,35
#ATTENDANTS_Lr,1858,0,277,0
#Albany_Lr,5701,1006,857,158
#Burgundy_Lr,647,68,96,12
#Cordelia_Lr,3719,826,545,122
#Cornwall_Lr,5524,745,808,119
#Curan_Lr,93,77,13,9
#Doctor_Lr,913,124,131,19
#Edgar_Lr,7349,2903,1049,417
#Edmund_Lr,8695,2369,1252,321
#Fool_Lr,6999,1739,1012,240
#France_Lr,773,240,115,35
#Gloucester_Lr,9392,2531,1336,356
#Goneril_Lr,7314,1473,1082,211
#Herald_Lr,1784,59,266,10
#Kent_Lr,12035,2586,1750,386
#Lear_Lr,11458,5601,1650,800
#MESSENGERS.X.1_Lr,229,117,35,17
#MESSENGERS.X.2_Lr,62,8,10,2
#MESSENGERS.X.3_Lr,275,5,38,1
#OldMan_Lr,356,58,49,11
#Oswald_Lr,3605,499,515,80
#Regan_Lr,7537,1363,1113,195
#SERVANTS.0.1_Lr,296,76,42,10
#SERVANTS.0.2_Lr,74,35,10,5
#SERVANTS.0.3_Lr,61,39,8,5
#SERVANTS.0_Lr,536,0,84,0
#SERVANTS.CORDELIA_Lr,670,0,93,0
#SERVANTS_Lr,3243,0,474,0
#SOLDIERS.CAPTAINS.1_Lr,335,22,45,3
#SOLDIERS.CAPTAINS.2_Lr,2323,2,350,1
#SOLDIERS.CORDELIA_Lr,57,0,8,0
#SOLDIERS.GONERIL_Lr,163,0,25,0
#SOLDIERS.REGAN_Lr,295,0,45,0
#SOLDIERS_Lr,2543,0,380,0
