node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#AMBASSADORS.ARMAGNAC.1_1H6,166,0,23,0
#AMBASSADORS.EMPEROR.1_1H6,166,0,23,0
#ATTENDANTS.ENGLISH_1H6,3916,0,519,0
#ATTENDANTS.FRENCH_1H6,422,0,59,0
#Alanson_1H6,3549,359,466,50
#Basset_1H6,1047,191,139,25
#Bastard_1H6,2680,222,352,29
#Bedford_H5,2538,595,338,77
#Boy_1H6,170,32,22,4
#Burgundy_1H6,2440,334,323,44
#CardinalBeaufort_1H6,5553,727,752,97
#Charles_1H6,3826,1019,503,133
#Countess_1H6,621,350,84,45
#Exeter_H5,5612,444,759,60
#Fastolf_1H6,340,55,45,8
#Gargrave_1H6,527,18,67,2
#General_1H6,292,202,39,27
#Glansdale_1H6,696,9,89,1
#Gloucester_2H4,6000,1401,808,189
#Governor_1H6,1307,0,174,0
#HERALDS.ENGLISH_1H6,1349,0,180,0
#HERALDS.FRENCH.1_1H6,362,0,48,0
#HenryVI_1H6,4013,1330,547,180
#JAILERS.0.1_1H6,831,30,112,4
#JAILERS_1H6,897,0,121,0
#JohnTalbot_1H6,1539,400,193,47
#Lawyer_1H6,1058,29,135,4
#Legate_1H6,201,7,28,1
#Lucy_1H6,915,586,120,79
#MESSENGERS.ENGLISH.1_1H6,185,126,26,18
#MESSENGERS.ENGLISH.2_1H6,54,54,7,7
#MESSENGERS.ENGLISH.3_1H6,450,338,60,46
#MESSENGERS.ENGLISH.X.1_1H6,92,33,12,4
#MESSENGERS.ENGLISH.X.2_1H6,64,49,9,7
#MESSENGERS.FRENCH.1_1H6,750,102,102,14
#MasterGunner_1H6,153,138,20,18
#Mayor_1H6,827,151,112,21
#Mortimer_1H4,897,651,121,88
#OFFICERS.0.1_1H6,146,49,19,6
#OFFICERS_1H6,962,0,127,0
#Porter_1H6,399,3,55,1
#Pucelle_1H6,3926,1957,512,255
#QueenMargaret_1H6,1076,254,147,33
#Reignier_1H6,2656,444,355,59
#SERVANTS.1_1H6,409,5,57,1
#SERVANTS.2_1H6,404,4,56,1
#SERVANTS.3_1H6,400,9,55,2
#SERVANTS.GLOUCESTER.0.1_1H6,1519,22,202,4
#SERVANTS.GLOUCESTER.0.2_1H6,822,65,111,8
#SERVANTS.GLOUCESTER_1H6,1177,18,155,2
#SERVANTS.TALBOT.1_1H6,734,10,97,1
#SERVANTS.WINCHESTER.0.1_1H6,857,29,117,4
#SERVANTS.WINCHESTER_1H6,956,0,127,0
#SOLDIERS.ENGLISH.0.1_1H6,7,7,1,1
#SOLDIERS.ENGLISH.0_1H6,553,0,79,0
#SOLDIERS.ENGLISH.1_1H6,34,34,4,4
#SOLDIERS.ENGLISH.Captain_1H6,48,22,7,3
#SOLDIERS.ENGLISH.SOMERSET.0.1_1H6,284,16,37,2
#SOLDIERS.ENGLISH.SOMERSET_1H6,354,0,46,0
#SOLDIERS.ENGLISH.YORK_1H6,355,0,47,0
#SOLDIERS.ENGLISH_1H6,2883,0,389,0
#SOLDIERS.FRENCH.PUCELLE.0.1_1H6,968,21,130,3
#SOLDIERS.FRENCH.PUCELLE_1H6,131,0,17,0
#SOLDIERS.FRENCH.Scout_1H6,104,31,14,5
#SOLDIERS.FRENCH.Sergeant_1H6,34,31,5,4
#SOLDIERS.FRENCH_1H6,2396,0,313,0
#SPIRITS_1H6,121,0,16,0
#Salisbury_1H6,779,113,100,15
#Shepherd_1H6,266,201,34,25
#Somerset_1H6,5510,513,737,64
#Suffolk_1H6,5751,1304,774,175
#Talbot_1H6,5808,3109,758,409
#Vernon_1H6,2188,237,284,29
#WARDERS.1_1H6,681,22,88,3
#WARDERS.2_1H6,668,9,86,1
#WATCHMEN.1_1H6,286,29,41,5
#WATCHMEN.2_1H6,286,0,41,0
#Warwick_2H4,6669,542,894,72
#Watchman_1H6,947,10,127,2
#Woodville_1H6,603,38,78,5
#York_1H6,6523,1385,873,184
