node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.PRINCE_Rom,1147,0,150,0
#ATTENDANTS_Rom,905,0,121,0
#Apothecary_Rom,224,53,29,7
#Benvolio_Rom,5671,1160,771,161
#Boy_Rom,905,0,121,0
#CITIZENS.0.1_Rom,478,27,64,4
#CITIZENS_Rom,715,16,96,2
#Capulet_Rom,4907,2136,645,278
#Chorus_Rom,219,219,28,28
#Cousin_Rom,919,18,124,3
#FriarJohn_Rom,170,97,23,13
#FriarLawrence_Rom,5483,2722,721,359
#GUESTS_Rom,919,0,124,0
#Juliet_Rom,10174,4265,1328,557
#LadyCapulet_Rom,6067,874,793,117
#LadyMontague_Rom,1089,28,143,3
#MASKERS_Rom,905,0,121,0
#MUSICIANS.0.1_Rom,326,70,50,13
#MUSICIANS.0.2_Rom,167,34,25,6
#MUSICIANS.0.3_Rom,68,7,9,1
#MUSICIANS_Rom,814,0,113,0
#Mercutio_Rom,3144,2100,424,269
#Montague_Rom,1921,317,249,41
#Nurse_Rom,7465,2205,996,287
#Paris_Rom,3916,540,504,70
#Petruchio_Rom,419,2,57,1
#PrinceEscalus_Rom,1594,584,209,78
#Romeo_Rom,12264,4673,1635,624
#SERVANTS.CAPULET.0.1_Rom,1525,119,210,16
#SERVANTS.CAPULET.0.2_Rom,1172,37,162,5
#SERVANTS.CAPULET.0.3_Rom,1085,21,150,4
#SERVANTS.CAPULET.0_Rom,823,4,112,1
#SERVANTS.CAPULET.Gregory_Rom,732,145,105,24
#SERVANTS.CAPULET.Peter_Rom,1159,244,162,35
#SERVANTS.CAPULET.Sampson_Rom,732,258,105,35
#SERVANTS.CAPULET.X.1_Rom,631,142,88,20
#SERVANTS.CAPULET.X.2_Rom,38,35,6,5
#SERVANTS.CAPULET_Rom,1631,0,225,0
#SERVANTS.MONTAGUE.1_Rom,478,0,72,0
#SERVANTS.MONTAGUE.Abram_Rom,478,24,72,5
#SERVANTS.MONTAGUE.Balthasar_Rom,2477,233,324,32
#SERVANTS.MONTAGUE_Rom,900,0,113,0
#SERVANTS.PARIS.1_Rom,1704,80,220,9
#SERVANTS.TYBALT.1_Rom,327,0,45,0
#SERVANTS_Rom,447,0,59,0
#Tybalt_Rom,1936,263,264,37
#WATCHMEN.0.1_Rom,1141,133,149,20
#WATCHMEN.0.2_Rom,1032,9,134,2
#WATCHMEN.0.3_Rom,1014,26,131,3
#WATCHMEN_Rom,1141,0,149,0
