act,scene,n_tokens,n_lines,onstage
1,1,1599,211,#ATTENDANTS_R2 #Gaunt_R2 #HenryIV_1H4 #LORDS_R2 #Mowbray_R2 #RichardII_R2
1,2,578,76,#DuchessOfGloucester_R2 #Gaunt_R2
1,3,2400,316,#Aumerle_R2 #Gaunt_R2 #HERALDS.1_R2 #HERALDS.2_R2 #HenryIV_1H4 #LORDS_R2 #LordMarshal_R2 #Mowbray_R2 #OFFICERS_R2 #RichardII_R2
1,4,483,66,#Aumerle_R2 #Bagot_R2 #Bushy_R2 #Green_R2 #RichardII_R2
2,1,2370,311,#ATTENDANTS.GAUNT_R2 #Aumerle_R2 #Bagot_R2 #Bushy_R2 #Gaunt_R2 #Green_R2 #Northumberland_R2 #Queen_R2 #RichardII_R2 #Ross_R2 #Willoughby_R2 #York_R2
2,2,1155,157,#Bagot_R2 #Bushy_R2 #Green_R2 #Queen_R2 #SERVANTS.YORK.1_R2 #York_R2
2,3,1377,175,#Berkeley_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #Ross_R2 #Willoughby_R2 #York_R2
2,4,192,24,#Salisbury_R2 #WelshCaptain_R2
3,1,343,47,#Bushy_R2 #Green_R2 #HenryIV_1H4 #LORDS_R2 #Northumberland_R2 #York_R2
3,2,1744,226,#Aumerle_R2 #BishopOfCarlisle_R2 #RichardII_R2 #SOLDIERS.RICHARD_R2 #Salisbury_R2 #Scroop_R2
3,3,1633,220,#ATTENDANTS.HENRY_R2 #Aumerle_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #RichardII_R2 #SOLDIERS.HENRY_R2 #York_R2
3,4,852,114,#Gardener_R2 #LADIES.0.1_R2 #LADIES_R2 #Queen_R2 #SERVANTS.GARDENER.1_R2 #SERVANTS.GARDENER.2_R2
4,1,2626,347,#AbbotOfWestminster_R2 #Aumerle_R2 #Bagot_R2 #BishopOfCarlisle_R2 #Fitzwater_R2 #HERALDS.X_R2 #HenryIV_1H4 #Hotspur_R2 #LORDS.1_R2 #Northumberland_R2 #OFFICERS.0.1_R2 #OFFICERS.0_R2 #OFFICERS_R2 #RichardII_R2 #Surrey_R2 #York_R2
5,1,834,104,#LADIES_R2 #Northumberland_R2 #OFFICERS_R2 #Queen_R2 #RichardII_R2
5,2,960,129,#Aumerle_R2 #DuchessOfYork_R2 #SERVANTS.YORK.1_R2 #York_R2
5,3,1159,153,#Aumerle_R2 #DuchessOfYork_R2 #HenryIV_1H4 #Hotspur_R2 #LORDS_R2 #York_R2
5,4,94,12,#Exton_R2 #SERVANTS.EXTON.0.1_R2 #SERVANTS.EXTON_R2
5,5,977,122,#Exton_R2 #Groom_R2 #Jailer_R2 #RichardII_R2 #SERVANTS.EXTON_R2
5,6,411,52,#BishopOfCarlisle_R2 #Exton_R2 #Fitzwater_R2 #HenryIV_1H4 #Hotspur_R2 #Northumberland_R2 #SERVANTS.EXTON_R2 #York_R2
