act,scene,n_tokens,n_lines,onstage
1,1,1325,190,#Barnardo_Ham #Francisco_Ham #Ghost_Ham #Horatio_Ham #Marcellus_Ham
1,2,2030,281,#Barnardo_Ham #Claudius_Ham #Cornelius_Ham #Gertrude_Ham #Hamlet_Ham #Horatio_Ham #Laertes_Ham #Marcellus_Ham #Polonius_Ham #Voltemand_Ham
1,3,1081,145,#Laertes_Ham #Ophelia_Ham #Polonius_Ham
1,4,713,102,#Ghost_Ham #Hamlet_Ham #Horatio_Ham #Marcellus_Ham
1,5,1449,212,#Ghost_Ham #Hamlet_Ham #Horatio_Ham #Marcellus_Ham
2,1,950,134,#Ophelia_Ham #Polonius_Ham #Reynaldo_Ham
2,2,4657,636,#ATTENDANTS_Ham #Claudius_Ham #Cornelius_Ham #Gertrude_Ham #Guildenstern_Ham #Hamlet_Ham #PLAYERS.1_Ham #PLAYERS_Ham #Polonius_Ham #Rosencrantz_Ham #Voltemand_Ham
3,1,1507,203,#ATTENDANTS_Ham #Claudius_Ham #Gertrude_Ham #Guildenstern_Ham #Hamlet_Ham #Ophelia_Ham #Polonius_Ham #Rosencrantz_Ham
3,2,2948,420,#ATTENDANTS_Ham #Claudius_Ham #Gertrude_Ham #Guildenstern_Ham #Hamlet_Ham #Horatio_Ham #Ophelia_Ham #PLAYERS.0.1_Ham #PLAYERS.King_Ham #PLAYERS.Lucianus_Ham #PLAYERS.Prologue_Ham #PLAYERS.Queen_Ham #PLAYERS_Ham #Polonius_Ham #Rosencrantz_Ham
3,3,790,103,#Claudius_Ham #Guildenstern_Ham #Hamlet_Ham #Polonius_Ham #Rosencrantz_Ham
3,4,1741,240,#Gertrude_Ham #Ghost_Ham #Hamlet_Ham #Polonius_Ham
4,1,352,46,#Claudius_Ham #Gertrude_Ham #Guildenstern_Ham #Rosencrantz_Ham
4,2,224,31,#ATTENDANTS.GUARDS_Ham #Guildenstern_Ham #Hamlet_Ham #Rosencrantz_Ham
4,3,527,77,#ATTENDANTS.GUARDS_Ham #ATTENDANTS_Ham #Claudius_Ham #Guildenstern_Ham #Hamlet_Ham #Rosencrantz_Ham
4,4,510,69,#ATTENDANTS.GUARDS_Ham #Fortinbras_Ham #Guildenstern_Ham #Hamlet_Ham #Rosencrantz_Ham #SOLDIERS.FORTINBRAS.Captain_Ham #SOLDIERS.FORTINBRAS_Ham
4,5,1585,245,#ATTENDANTS.1_Ham #Claudius_Ham #FOLLOWERS.LAERTES_Ham #Gertrude_Ham #Horatio_Ham #Laertes_Ham #MESSENGERS.1_Ham #Ophelia_Ham
4,6,287,35,#ATTENDANTS.0.1_Ham #ATTENDANTS_Ham #Horatio_Ham #SAILORS.0.1_Ham #SAILORS_Ham
4,7,1582,221,#Claudius_Ham #Gertrude_Ham #Laertes_Ham #MESSENGERS.2_Ham
5,1,2264,319,#ATTENDANTS_Ham #Claudius_Ham #Doctor_Ham #Gertrude_Ham #Gravedigger_Ham #GravediggersCompanion_Ham #Hamlet_Ham #Horatio_Ham #Laertes_Ham #Ophelia_Ham
5,2,3148,450,#AMBASSADORS_Ham #ATTENDANTS.2_Ham #ATTENDANTS_Ham #Claudius_Ham #Fortinbras_Ham #Gertrude_Ham #Hamlet_Ham #Horatio_Ham #Laertes_Ham #Osric_Ham #SOLDIERS.FORTINBRAS_Ham
