act,scene,n_tokens,n_lines,onstage
1,0,281,42,#Gower_Per
1,1,1335,180,#Antiochus_Per #Daughter_Per #FOLLOWERS.ANTIOCHUS_Per #MESSENGERS.ANTIOCH.1_Per #Pericles_Per #Thaliard_Per
1,2,1030,133,#ATTENDANTS.PERICLES.1_Per #Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE.0.2_Per #LORDS.TYRE_Per #Pericles_Per
1,3,322,40,#Helicanus_Per #LORDS.TYRE_Per #Thaliard_Per
1,4,839,110,#ATTENDANTS.PERICLES_Per #CITIZENS.TARSUS_Per #Cleon_Per #Dionyza_Per #LORDS.TARSUS.1_Per #Pericles_Per
2,0,264,40,#Gower_Per
2,1,1315,172,#FISHERMEN.1_Per #FISHERMEN.2_Per #FISHERMEN.3_Per #Pericles_Per
2,2,438,61,#ATTENDANTS.SIMONIDES_Per #LORDS.PENTAPOLIS.0.1_Per #LORDS.PENTAPOLIS.0.2_Per #LORDS.PENTAPOLIS.0.3_Per #LORDS.PENTAPOLIS_Per #Simonides_Per #Thaisa_Per
2,3,901,123,#ATTENDANTS.SIMONIDES_Per #KNIGHTS.0.1_Per #KNIGHTS_Per #LADIES.PENTAPOLIS_Per #LORDS.PENTAPOLIS_Per #Marshal_Per #Pericles_Per #Simonides_Per #Thaisa_Per
2,4,455,60,#Helicanus_Per #LORDS.TYRE.0.1_Per #LORDS.TYRE.0.2_Per #LORDS.TYRE.0.3_Per #LORDS.TYRE.Escanes_Per #LORDS.TYRE_Per
2,5,694,96,#KNIGHTS.0.1_Per #KNIGHTS.0.2_Per #KNIGHTS.0.3_Per #KNIGHTS_Per #Pericles_Per #Simonides_Per #Thaisa_Per
3,0,375,60,#Gower_Per
3,1,611,86,#Lychorida_Per #Marina.Infant_Per #Pericles_Per #SAILORS.1_Per #SAILORS.2_Per
3,2,807,128,#Cerimon_Per #GENTLEMEN.EPHESUS.1_Per #GENTLEMEN.EPHESUS.2_Per #Philemon_Per #SERVANTS.CERIMON.0.1_Per #SERVANTS.CERIMON.0.2_Per #SERVANTS.CERIMON_Per #SUPPLIANTS.1_Per #SUPPLIANTS.2_Per #Thaisa_Per
3,3,352,48,#Cleon_Per #Dionyza_Per #Lychorida_Per #Marina.Infant_Per #Pericles_Per
3,4,127,17,#Cerimon_Per #Thaisa_Per
4,0,320,52,#Gower_Per
4,1,784,114,#Dionyza_Per #Leonine_Per #Marina_Per #PIRATES.0.1_Per #PIRATES.0.2_Per #PIRATES.0.3_Per #PIRATES_Per
4,2,1105,155,#Bawd_Per #Bolt_Per #Marina_Per #PIRATES.0.1_Per #PIRATES_Per #Pander_Per
4,3,405,57,#Cleon_Per #Dionyza_Per
4,4,383,52,#Gower_Per
4,5,69,9,#GENTLEMEN.MYTILENE.1_Per #GENTLEMEN.MYTILENE.2_Per
4,6,1487,207,#Bawd_Per #Bolt_Per #Lysimachus_Per #Marina_Per #Pander_Per
5,0,193,24,#Gower_Per
5,1,1969,302,#ATTENDANTS.PERICLES_Per #Companion_Per #Diana_Per #GENTLEMEN.TYRE.0.1_Per #GENTLEMEN.TYRE_Per #Helicanus_Per #LORDS.MYTILENE.0.1_Per #LORDS.MYTILENE_Per #Lysimachus_Per #Marina_Per #Pericles_Per #SAILORS.MYTILENE.1_Per #SAILORS.TYRE.1_Per
5,2,121,20,#Gower_Per
5,3,642,98,#ATTENDANTS.PERICLES_Per #Cerimon_Per #Helicanus_Per #Lysimachus_Per #Marina_Per #PRIESTESSES_Per #Pericles_Per #Thaisa_Per
6,0,136,18,#Gower_Per
