node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#AEDILES.X.1_Cor,4,0,1,0
#AEDILES.X.2_Cor,1037,39,160,9
#AEDILES.X.3_Cor,938,38,150,6
#AEDILES_Cor,936,2,155,1
#ATTENDANTS.ROMAN_Cor,1540,0,210,0
#ATTENDANTS.VOLSCIAN_Cor,63,0,9,0
#Adrian_Cor,394,160,53,22
#Aufidius_Cor,5203,2034,733,286
#CITIZENS.ANTIUM.1_Cor,48,20,10,4
#CITIZENS.ROMAN.0.1_Cor,3782,328,582,46
#CITIZENS.ROMAN.0.2_Cor,2262,311,331,46
#CITIZENS.ROMAN.0.3_Cor,149,37,21,4
#CITIZENS.ROMAN.1_Cor,1367,94,189,14
#CITIZENS.ROMAN.2_Cor,1367,119,189,21
#CITIZENS.ROMAN.3_Cor,1367,461,189,59
#CITIZENS.ROMAN.4_Cor,1427,69,193,12
#CITIZENS.ROMAN.5_Cor,1427,38,193,7
#CITIZENS.ROMAN.6_Cor,1309,36,179,7
#CITIZENS.ROMAN.7_Cor,1309,42,179,8
#CITIZENS.ROMAN.8_Cor,1309,24,179,5
#CITIZENS.ROMAN_Cor,3984,149,605,27
#CITIZENS.VOLSCIAN_Cor,669,22,102,3
#CONSPIRATORS.0.1_Cor,1172,56,175,8
#CONSPIRATORS.0.2_Cor,1150,38,171,7
#CONSPIRATORS.0.3_Cor,1115,80,165,12
#CONSPIRATORS_Cor,1174,11,176,2
#Cominius_Cor,7846,1919,1202,280
#Coriolanus_Cor,12903,6481,1937,942
#Gentlewoman_Cor,647,9,86,2
#Herald_Cor,337,38,57,6
#LICTORS_Cor,953,0,147,0
#LORDS.VOLSCIAN.0.1_Cor,723,89,109,13
#LORDS.VOLSCIAN.0.2_Cor,252,61,39,9
#LORDS.VOLSCIAN.0.3_Cor,171,12,25,2
#LORDS.VOLSCIAN_Cor,753,11,115,3
#Lartius_Cor,3651,394,574,64
#MESSENGERS.TRIBUNES.1_Cor,1017,109,157,16
#MESSENGERS.TRIBUNES.2_Cor,855,137,130,19
#MESSENGERS.X.1_Cor,237,12,41,2
#MESSENGERS.X.2_Cor,256,15,40,2
#MESSENGERS.X.3_Cor,102,62,16,9
#MESSENGERS.X.4_Cor,96,71,14,9
#Menenius_Cor,12801,4288,1920,615
#NOBLES.0.1_Cor,1191,4,171,1
#NOBLES_Cor,1711,0,246,0
#Nicanor_Cor,394,234,53,31
#OFFICERS.1_Cor,1250,114,183,15
#OFFICERS.2_Cor,1250,186,183,22
#SENATORS.ROMAN.0.1_Cor,5669,259,883,45
#SENATORS.ROMAN.0.2_Cor,1191,15,199,4
#SENATORS.ROMAN_Cor,4865,19,755,4
#SENATORS.VOLSCIAN.0.1_Cor,721,103,112,18
#SENATORS.VOLSCIAN.0.2_Cor,98,40,18,7
#SENATORS.VOLSCIAN_Cor,371,5,60,2
#SERVANTS.1_Cor,1702,248,245,40
#SERVANTS.2_Cor,1650,267,236,40
#SERVANTS.3_Cor,689,397,104,55
#SOLDIERS.ROMAN.0.1_Cor,357,45,56,8
#SOLDIERS.ROMAN.0.2_Cor,348,5,54,2
#SOLDIERS.ROMAN.0.3_Cor,208,9,30,1
#SOLDIERS.ROMAN.0_Cor,667,0,94,0
#SOLDIERS.ROMAN.Lieutenant_Cor,64,5,9,1
#SOLDIERS.ROMAN.Scout_Cor,64,0,9,0
#SOLDIERS.ROMAN.Trumpeter_Cor,199,0,29,0
#SOLDIERS.ROMAN_Cor,2483,12,369,3
#SOLDIERS.VOLSCIAN.0.1_Cor,271,17,35,4
#SOLDIERS.VOLSCIAN.Lieutenant_Cor,474,81,61,11
#SOLDIERS.VOLSCIAN_Cor,387,0,55,0
#TRIBUNES.Brutus_Cor,10129,1603,1552,255
#TRIBUNES.Sicinius_Cor,10653,1928,1620,316
#Usher_Cor,500,0,66,0
#Valeria_Cor,2889,355,408,45
#Virgilia_Cor,4155,238,588,39
#Volumnia_Cor,5234,2414,742,322
#WATCHMEN.1_Cor,874,252,117,32
#WATCHMEN.2_Cor,874,81,117,12
#YoungMartius_Cor,1540,17,210,2
