act,scene,n_tokens,n_lines,onstage
1,1,1349,180,#ATTENDANTS.ENGLISH_1H6 #Bedford_H5 #CardinalBeaufort_1H6 #Exeter_H5 #Gloucester_2H4 #HERALDS.ENGLISH_1H6 #MESSENGERS.ENGLISH.1_1H6 #MESSENGERS.ENGLISH.2_1H6 #MESSENGERS.ENGLISH.3_1H6 #Somerset_1H6 #Warwick_2H4
1,2,1179,153,#Alanson_1H6 #Bastard_1H6 #Charles_1H6 #Pucelle_1H6 #Reignier_1H6 #SOLDIERS.FRENCH_1H6
1,3,714,92,#CardinalBeaufort_1H6 #Gloucester_2H4 #Mayor_1H6 #OFFICERS.0.1_1H6 #OFFICERS_1H6 #SERVANTS.GLOUCESTER.0.1_1H6 #SERVANTS.GLOUCESTER_1H6 #SERVANTS.WINCHESTER_1H6 #WARDERS.1_1H6 #WARDERS.2_1H6 #Woodville_1H6
1,4,866,111,#ATTENDANTS.ENGLISH_1H6 #Boy_1H6 #Gargrave_1H6 #Glansdale_1H6 #MESSENGERS.ENGLISH.X.1_1H6 #MasterGunner_1H6 #Salisbury_1H6 #Talbot_1H6
1,5,314,39,#Pucelle_1H6 #SOLDIERS.ENGLISH_1H6 #SOLDIERS.FRENCH_1H6 #Talbot_1H6
1,6,229,31,#Alanson_1H6 #Charles_1H6 #Pucelle_1H6 #Reignier_1H6 #SOLDIERS.FRENCH_1H6
2,1,626,85,#Alanson_1H6 #Bastard_1H6 #Bedford_H5 #Burgundy_1H6 #Charles_1H6 #Pucelle_1H6 #Reignier_1H6 #SOLDIERS.ENGLISH.1_1H6 #SOLDIERS.FRENCH.Sergeant_1H6 #Talbot_1H6 #WATCHMEN.1_1H6 #WATCHMEN.2_1H6
2,2,459,61,#Bedford_H5 #Burgundy_1H6 #MESSENGERS.FRENCH.1_1H6 #SOLDIERS.ENGLISH.0.1_1H6 #SOLDIERS.ENGLISH.0_1H6 #SOLDIERS.ENGLISH_1H6 #Salisbury_1H6 #Talbot_1H6
2,3,621,84,#Countess_1H6 #MESSENGERS.FRENCH.1_1H6 #Porter_1H6 #SOLDIERS.ENGLISH_1H6 #Talbot_1H6
2,4,1058,135,#Lawyer_1H6 #Somerset_1H6 #Suffolk_1H6 #Vernon_1H6 #Warwick_2H4 #York_1H6
2,5,956,129,#JAILERS.0.1_1H6 #JAILERS_1H6 #Mortimer_1H4 #York_1H6
