act,scene,n_tokens,n_lines,onstage
1,1,1487,192,#Antonio_MV #Bassanio_MV #Gratiano_MV #Lorenzo_MV #Salarino_MV #Solanio_MV
1,2,1141,134,#Nerissa_MV #Portia_MV #SERVANTS.1_MV
1,3,1411,194,#Antonio_MV #Bassanio_MV #Shylock_MV
2,1,364,49,#ATTENDANTS.MOROCCO_MV #ATTENDANTS.PORTIA_MV #Morocco_MV #Nerissa_MV #Portia_MV
2,2,1668,210,#ATTENDANTS.BASSANIO.1_MV #ATTENDANTS.BASSANIO.2_MV #ATTENDANTS.BASSANIO.Leonardo_MV #Bassanio_MV #Gratiano_MV #LanceletGobbo_MV #OldGobbo_MV
2,3,163,21,#Jessica_MV #LanceletGobbo_MV
2,4,284,43,#Gratiano_MV #LanceletGobbo_MV #Lorenzo_MV #Salarino_MV #Solanio_MV
2,5,437,58,#Jessica_MV #LanceletGobbo_MV #Shylock_MV
2,6,530,70,#Antonio_MV #Gratiano_MV #Jessica_MV #Lorenzo_MV #Salarino_MV
2,7,622,87,#ATTENDANTS.MOROCCO_MV #ATTENDANTS.PORTIA_MV #Morocco_MV #Nerissa_MV #Portia_MV
2,8,413,56,#Salarino_MV #Solanio_MV
2,9,764,109,#ATTENDANTS.ARRAGON_MV #ATTENDANTS.PORTIA_MV #Arragon_MV #Messenger_MV #Nerissa_MV #Portia_MV
3,1,1032,129,#SERVANTS.2_MV #Salarino_MV #Shylock_MV #Solanio_MV #Tubal_MV
3,2,2568,339,#ATTENDANTS.BASSANIO_MV #ATTENDANTS.PORTIA_MV #Bassanio_MV #Gratiano_MV #Jessica_MV #Lorenzo_MV #MUSICIANS_MV #Nerissa_MV #Portia_MV #Salerio_MV
3,3,294,39,#Antonio_MV #Jailer_MV #Shylock_MV #Solanio_MV
3,4,660,88,#ATTENDANTS.PORTIA.Balthazar_MV #Jessica_MV #Lorenzo_MV #Nerissa_MV #Portia_MV
3,5,725,91,#Jessica_MV #LanceletGobbo_MV #Lorenzo_MV
4,1,3689,475,#ATTENDANTS.DUKE.0_MV #ATTENDANTS.DUKE_MV #Antonio_MV #Bassanio_MV #Duke_MV #Gratiano_MV #Nerissa_MV #Portia_MV #Salerio_MV #Shylock_MV
4,2,158,23,#Gratiano_MV #Nerissa_MV #Portia_MV
5,1,2517,329,#ATTENDANTS.BASSANIO_MV #ATTENDANTS.PORTIA.Stephano_MV #Antonio_MV #Bassanio_MV #Gratiano_MV #Jessica_MV #LanceletGobbo_MV #Lorenzo_MV #MUSICIANS_MV #Nerissa_MV #Portia_MV
