node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.0.1_WT,3914,242,565,37
#ATTENDANTS.1_WT,959,221,120,30
#ATTENDANTS.2_WT,795,126,99,17
#ATTENDANTS.3_WT,752,594,93,70
#ATTENDANTS.PAULINA.0.1_WT,487,0,75,0
#ATTENDANTS.PAULINA_WT,119,0,21,0
#ATTENDANTS.X_WT,462,172,69,24
#ATTENDANTS_WT,7698,19,1111,3
#Antigonus_WT,3255,785,465,113
#Archidamus_WT,355,176,48,23
#Autolycus_WT,5307,2395,699,305
#Camillo_WT,10911,2094,1581,305
#Chorus_WT,266,266,33,33
#Cleomenes_WT,2965,140,440,25
#Dion_WT,3037,190,452,28
#Dorcas_WT,2047,67,294,13
#Florizell_WT,7580,1391,1115,210
#Hermione_WT,4873,1584,709,216
#Jailer_WT,475,72,73,12
#LADIES.0.1_WT,1659,49,237,9
#LADIES.0.2_WT,1622,21,231,4
#LADIES.Emilia_WT,374,142,55,21
#LADIES_WT,2927,0,410,0
#Leontes_WT,11131,4903,1619,712
#MUSICIANS_WT,2251,0,325,0
#Mamillius_WT,2322,151,339,22
#Mopsa_WT,2047,142,294,21
#OFFICERS.0.1_WT,1885,193,261,27
#OFFICERS_WT,1174,0,164,0
#Paulina_WT,6323,2390,934,345
#Perdita.Infant_WT,2547,0,349,0
#Perdita_WT,7580,898,1115,137
#Polixenes_WT,7249,1960,1053,283
#SERVANTS.0_WT,1479,12,217,2
#SERVANTS.SHEPHERD.1_WT,437,315,58,39
#SERVANTS.SHEPHERD_WT,2251,0,325,0
#SERVANTS.X.1_WT,893,45,128,8
#SERVANTS.X.2_WT,110,31,17,5
#SERVANTS.X.3_WT,243,119,38,18
#SERVANTS_WT,3341,0,498,0
#SHEPHERDS_WT,2047,0,294,0
#Sailor_WT,120,80,18,11
#Shepherd_WT,5626,1072,776,142
#ShepherdsSon_WT,4888,1597,661,210
