node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#AMBASSADORS_Ham,338,40,50,6
#ATTENDANTS.0.1_Ham,14,10,3,2
#ATTENDANTS.1_Ham,128,99,21,15
#ATTENDANTS.2_Ham,102,67,14,8
#ATTENDANTS.GUARDS_Ham,706,3,102,1
#ATTENDANTS_Ham,5472,3,789,2
#Barnardo_Ham,2044,226,302,38
#Claudius_Ham,11787,4084,1667,568
#Cornelius_Ham,513,10,71,1
#Doctor_Ham,637,90,96,14
#FOLLOWERS.LAERTES_Ham,29,8,5,2
#Fortinbras_Ham,397,187,59,27
#Francisco_Ham,112,55,21,9
#Gertrude_Ham,9930,1050,1426,158
#Ghost_Ham,1873,680,271,96
#Gravedigger_Ham,2264,736,319,100
#GravediggersCompanion_Ham,445,97,62,18
#Guildenstern_Ham,5938,323,837,54
#Hamlet_Ham,19009,11621,2659,1558
#Horatio_Ham,11439,2073,1655,308
#Laertes_Ham,6116,1446,874,212
#MESSENGERS.1_Ham,902,77,139,11
#MESSENGERS.2_Ham,52,36,11,6
#Marcellus_Ham,3283,440,483,68
#Ophelia_Ham,5545,1183,782,177
#Osric_Ham,1885,359,273,52
#PLAYERS.0.1_Ham,2809,14,405,3
#PLAYERS.1_Ham,973,352,128,49
#PLAYERS.King_Ham,877,337,121,44
#PLAYERS.Lucianus_Ham,176,40,29,7
#PLAYERS.Prologue_Ham,72,16,11,3
#PLAYERS.Queen_Ham,592,247,77,31
#PLAYERS_Ham,1647,0,210,0
#Polonius_Ham,9908,2666,1368,368
#Reynaldo_Ham,558,65,83,14
#Rosencrantz_Ham,5977,708,844,102
#SAILORS.0.1_Ham,246,40,28,5
#SAILORS_Ham,246,0,28,0
#SOLDIERS.FORTINBRAS.Captain_Ham,215,85,31,12
#SOLDIERS.FORTINBRAS_Ham,397,0,59,0
#Voltemand_Ham,513,159,71,23
