node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#AnnePage_Wiv,1776,185,248,30
#BOYS_Wiv,1631,59,219,10
#Bardolph_1H4,1203,168,178,28
#DoctorCaius_Wiv,3475,819,497,115
#Falstaff_1H4,8652,3649,1171,470
#Fenton_Wiv,1678,750,226,97
#Host_Wiv,2718,855,371,120
#HughEvans_Wiv,6929,1849,996,264
#John_Wiv,613,13,87,2
#MasterFord_Wiv,6501,2530,877,330
#MasterPage_Wiv,6039,1094,856,165
#MistressFord_Wiv,6056,1293,849,193
#MistressPage_Wiv,6438,2528,920,352
#MistressQuickly_1H4,5279,2200,738,291
#Nym_H5,1541,239,223,32
#Pistol_2H4,4141,464,566,77
#Robert_Wiv,613,20,87,3
#Robin_Wiv,2132,101,289,14
#Rugby_Wiv,1989,52,279,11
#Shallow_2H4,4468,914,631,129
#Simple_Wiv,2555,332,370,49
#Slender_Wiv,4476,1171,628,158
#WilliamPage_Wiv,460,37,86,13
