act,scene,n_tokens,n_lines,onstage
1,1,2472,323,#Balthasar_Ado #Beatrice_Ado #Benedick_Ado #Claudio_Ado #DonJohn_Ado #DonPedro_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado
1,2,215,28,#ATTENDANTS_Ado #Leonato_Ado #LeonatosBrother_Ado #MUSICIANS.1_Ado #Son_Ado
1,3,561,72,#Borachio_Ado #Conrade_Ado #DonJohn_Ado
2,1,2932,378,#Antonio_Ado #Balthasar_Ado #Beatrice_Ado #Benedick_Ado #Borachio_Ado #Claudio_Ado #DonJohn_Ado #DonPedro_Ado #Hero_Ado #Leonato_Ado #LeonatosBrother_Ado #Margaret_Ado #Ursula_Ado
2,2,414,56,#Borachio_Ado #DonJohn_Ado
2,3,2112,265,#Balthasar_Ado #Beatrice_Ado #Benedick_Ado #Boy_Ado #Claudio_Ado #DonPedro_Ado #Leonato_Ado
3,1,918,121,#Beatrice_Ado #Hero_Ado #Margaret_Ado #Ursula_Ado
3,2,922,127,#Benedick_Ado #Claudio_Ado #DonJohn_Ado #DonPedro_Ado #Leonato_Ado
3,3,1332,181,#Borachio_Ado #Conrade_Ado #Dogberry_Ado #Verges_Ado #WATCHMEN.1_Ado #WATCHMEN.2_Ado #WATCHMEN.Seacoal_Ado
3,4,688,96,#Beatrice_Ado #Hero_Ado #Margaret_Ado #Ursula_Ado
3,5,481,62,#Dogberry_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado #Verges_Ado
4,1,2539,350,#ATTENDANTS_Ado #Beatrice_Ado #Benedick_Ado #Claudio_Ado #DonJohn_Ado #DonPedro_Ado #FriarFrancis_Ado #Hero_Ado #Leonato_Ado
4,2,609,89,#Borachio_Ado #Conrade_Ado #Dogberry_Ado #Sexton_Ado #Verges_Ado #WATCHMEN.1_Ado #WATCHMEN.2_Ado #WATCHMEN.Seacoal_Ado
5,1,2599,349,#Benedick_Ado #Borachio_Ado #Claudio_Ado #Conrade_Ado #Dogberry_Ado #DonPedro_Ado #Leonato_Ado #LeonatosBrother_Ado #Sexton_Ado #Verges_Ado #WATCHMEN.1_Ado #WATCHMEN.2_Ado #WATCHMEN.Seacoal_Ado
5,2,765,103,#Beatrice_Ado #Benedick_Ado #Margaret_Ado #Ursula_Ado
5,3,207,33,#ATTENDANTS.0.1_Ado #ATTENDANTS_Ado #Claudio_Ado #DonPedro_Ado #MUSICIANS_Ado
5,4,1036,133,#ATTENDANTS_Ado #Beatrice_Ado #Benedick_Ado #Claudio_Ado #DonPedro_Ado #FriarFrancis_Ado #Hero_Ado #Leonato_Ado #LeonatosBrother_Ado #MESSENGERS.DONPEDRO.1_Ado #Margaret_Ado #Ursula_Ado
