node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS_Mac,3279,17,494,4
#Angus_Mac,1815,137,276,22
#Banquo_Mac,3141,777,472,117
#Caithness_Mac,494,73,75,11
#Doctor1_Mac,49,35,8,5
#Doctor2_Mac,1077,290,160,46
#Donalbain_Mac,1618,60,242,10
#Duncan_Mac,1205,472,182,72
#Fleance_Mac,269,16,48,2
#Gentlewoman_Mac,590,181,84,26
#Hecate_Mac,270,263,40,39
#LadyMacbeth_Mac,4441,1910,652,278
#LadyMacduff_Mac,671,292,98,42
#Lennox_Mac,4046,513,605,79
#Lord_Mac,410,158,56,21
#MESSENGERS.1_Mac,70,38,11,5
#MESSENGERS.2_Mac,75,75,10,10
#MESSENGERS.3_Mac,197,64,28,9
#MURDERERS.0.1_Mac,43,14,10,4
#MURDERERS.1_Mac,945,163,142,27
#MURDERERS.2_Mac,757,100,116,18
#MURDERERS.3_Mac,180,42,33,9
#MURDERERS_Mac,47,0,11,0
#Macbeth_Mac,8462,5310,1250,752
#Macduff_Mac,3912,1162,584,182
#MacduffsSon_Mac,671,143,98,22
#Malcolm_Mac,4181,1508,619,218
#Menteith_Mac,494,71,75,12
#OldMan_Mac,327,81,56,13
#Porter_Mac,351,307,45,38
#Ross_Mac,4533,917,681,142
#SERVANTS.X.1_Mac,183,0,32,0
#SERVANTS.X.2_Mac,278,8,43,1
#SERVANTS.X.3_Mac,27,9,5,2
#SERVANTS.X.4_Mac,61,12,11,3
#SOLDIERS.Captain_Mac,318,236,48,35
#SOLDIERS.MACBETH_Mac,424,0,59,0
#SOLDIERS.MALCOLM.0.1_Mac,110,4,18,1
#SOLDIERS.MALCOLM_Mac,846,4,124,1
#SPIRITS.1_Mac,29,13,6,2
#SPIRITS.2_Mac,30,23,5,4
#SPIRITS.3_Mac,61,32,10,5
#SPIRITS.KINGS_Mac,108,0,13,0
#Seyton_Mac,629,31,94,5
#Siward_Mac,649,207,95,32
#WITCHES.1_Mac,1714,467,278,84
#WITCHES.2_Mac,1714,242,278,48
#WITCHES.3_Mac,1714,246,278,48
#YoungSiward_Mac,328,43,52,7
