node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.PERICLES.1_Per,4,0,1,0
#ATTENDANTS.PERICLES_Per,929,0,139,0
#ATTENDANTS.SIMONIDES_Per,1339,0,184,0
#Antiochus_Per,1154,483,158,70
#Bawd_Per,1724,840,243,113
#Bolt_Per,1881,656,262,88
#CITIZENS.TARSUS_Per,839,11,110,2
#Cerimon_Per,1576,731,243,110
#Cleon_Per,1596,841,215,114
#Companion_Per,1365,0,201,0
#Daughter_Per,866,16,114,2
#Diana_Per,72,72,10,10
#Dionyza_Per,1998,677,272,92
#FISHERMEN.1_Per,1220,314,161,44
#FISHERMEN.2_Per,1061,222,139,32
#FISHERMEN.3_Per,1061,151,139,18
#FOLLOWERS.ANTIOCHUS_Per,947,0,126,0
#GENTLEMEN.EPHESUS.1_Per,739,90,117,17
#GENTLEMEN.EPHESUS.2_Per,739,84,117,15
#GENTLEMEN.MYTILENE.1_Per,69,37,9,5
#GENTLEMEN.MYTILENE.2_Per,69,32,9,4
#GENTLEMEN.TYRE.0.1_Per,1919,4,294,1
#GENTLEMEN.TYRE_Per,1748,0,265,0
#Gower_Per,2073,2073,308,308
#Helicanus_Per,3958,872,573,128
#KNIGHTS.0.1_Per,1414,29,194,4
#KNIGHTS.0.2_Per,653,9,91,1
#KNIGHTS.0.3_Per,602,8,85,1
#KNIGHTS_Per,1001,19,135,3
#LADIES.PENTAPOLIS_Per,901,0,123,0
#LORDS.MYTILENE.0.1_Per,1617,16,243,2
#LORDS.MYTILENE_Per,1730,0,261,0
#LORDS.PENTAPOLIS.0.1_Per,430,44,60,6
#LORDS.PENTAPOLIS.0.2_Per,59,15,8,2
#LORDS.PENTAPOLIS.0.3_Per,44,17,6,2
#LORDS.PENTAPOLIS_Per,1339,0,184,0
#LORDS.TARSUS.1_Per,187,48,27,7
#LORDS.TYRE.0.1_Per,1079,137,139,17
#LORDS.TYRE.0.2_Per,1056,65,136,9
#LORDS.TYRE.0.3_Per,307,9,40,1
#LORDS.TYRE.Escanes_Per,455,6,60,2
#LORDS.TYRE_Per,682,3,90,1
#Leonine_Per,771,143,111,24
#Lychorida_Per,779,74,108,11
#Lysimachus_Per,3228,721,487,108
#MESSENGERS.ANTIOCH.1_Per,14,6,2,1
#Marina.Infant_Per,859,0,120,0
#Marina_Per,4720,1265,690,189
#Marshal_Per,901,5,123,1
#PIRATES.0.1_Per,876,8,124,2
#PIRATES.0.2_Per,72,4,10,1
#PIRATES.0.3_Per,68,9,9,2
#PIRATES_Per,126,0,20,0
#PRIESTESSES_Per,642,0,98,0
#Pander_Per,971,216,136,28
#Pericles_Per,8436,4580,1170,612
#Philemon_Per,20,4,3,1
#SAILORS.1_Per,316,71,45,10
#SAILORS.2_Per,316,38,45,6
#SAILORS.MYTILENE.1_Per,1771,13,267,3
#SAILORS.TYRE.1_Per,1798,42,273,6
#SERVANTS.CERIMON.0.1_Per,472,33,75,6
#SERVANTS.CERIMON.0.2_Per,192,0,30,0
#SERVANTS.CERIMON_Per,472,0,75,0
#SUPPLIANTS.1_Per,68,16,11,2
#SUPPLIANTS.2_Per,68,0,11,0
#Simonides_Per,2033,1136,280,156
#Thaisa_Per,2370,566,336,83
#Thaliard_Per,475,207,64,26
