node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#Antony_JC,4927,2537,690,337
#Artemidorus_JC,806,145,120,20
#Brutus_JC,12075,5388,1693,739
#COMMONERS.Carpenter_JC,477,4,65,1
#COMMONERS.Cobbler_JC,477,145,65,18
#COMMONERS_JC,642,0,94,0
#Caesar_JC,5506,1142,772,155
#Calphurnia_JC,1434,203,196,28
#Casca_JC,5662,1073,775,137
#Cassius_JC,10353,3708,1446,519
#Cicero_JC,758,62,107,9
#CinnaPoet_JC,246,104,40,14
#Cinna_JC,3431,130,480,17
#Decius_JC,4107,323,576,44
#Flavius_JC,1041,207,146,28
#Lepidus_JC,772,22,117,4
#Ligarius_JC,379,111,54,16
#Lucius_JC,1664,206,251,33
#Marullus_JC,1041,231,146,33
#Messenger_JC,405,24,59,4
#Metellus_JC,3248,121,458,17
#Octavius_JC,1115,328,156,46
#PETITIONERS_JC,689,0,104,0
#PLEBEIANS.0.1_JC,2262,128,315,22
#PLEBEIANS.0.2_JC,2253,133,313,24
#PLEBEIANS.0.3_JC,2235,124,310,22
#PLEBEIANS.0.4_JC,1853,126,267,24
#PLEBEIANS.0_JC,1739,0,245,0
#PLEBEIANS_JC,2254,89,314,16
#Pindarus_JC,694,120,105,17
#Poet_JC,111,54,16,7
#Popilius_JC,94,10,16,2
#Portia_JC,1446,724,201,97
#Publius_JC,862,6,129,2
#SENATORS_JC,689,0,104,0
#SERVANTS.ANTONY.1_JC,159,119,22,16
#SERVANTS.CAESAR.1_JC,673,31,92,5
#SERVANTS.OCTAVIUS.1_JC,241,62,34,9
#SOLDIERS.ANTONY.0.1_JC,159,26,22,4
#SOLDIERS.ANTONY.0.2_JC,126,7,17,1
#SOLDIERS.ANTONY_JC,919,0,128,0
#SOLDIERS.BRUTUS.0.1_JC,131,1,21,1
#SOLDIERS.BRUTUS.0.2_JC,130,1,20,1
#SOLDIERS.BRUTUS.0.3_JC,129,1,19,1
#SOLDIERS.BRUTUS.Cato_JC,401,54,56,8
#SOLDIERS.BRUTUS.Claudius_JC,486,16,71,4
#SOLDIERS.BRUTUS.Clitus_JC,341,70,48,10
#SOLDIERS.BRUTUS.Dardanus_JC,341,15,48,3
#SOLDIERS.BRUTUS.Flavius_JC,163,0,24,0
#SOLDIERS.BRUTUS.Labeo_JC,155,0,23,0
#SOLDIERS.BRUTUS.Lucilius_JC,1937,197,279,28
#SOLDIERS.BRUTUS.Messala_JC,2028,254,298,39
#SOLDIERS.BRUTUS.Strato_JC,795,59,110,7
#SOLDIERS.BRUTUS.Titinius_JC,2491,238,371,34
#SOLDIERS.BRUTUS.Varro_JC,486,31,71,7
#SOLDIERS.BRUTUS.Volumnius_JC,496,17,71,3
#SOLDIERS.BRUTUS_JC,1174,0,173,0
#SOLDIERS.CASSIUS_JC,149,0,25,0
#Soothsayer_JC,1005,131,154,19
#Trebonius_JC,2741,60,383,8
