node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.ANTONY_Ant,556,3,82,1
#ATTENDANTS.CAESAR_Ant,1177,11,178,2
#ATTENDANTS.OCTAVIA_Ant,464,0,68,0
#ATTENDANTS.ROMAN_Ant,677,0,97,0
#ATTENDANTS_Ant,685,0,107,0
#Agrippa_Ant,5782,376,887,65
#Alexas_Ant,2663,207,416,34
#Ambassador_Ant,278,107,43,16
#Antony_JC,11158,5998,1689,873
#Boy_Ant,878,39,138,6
#CAPTAINS.0.1_Ant,118,7,18,1
#CAPTAINS_Ant,966,17,151,3
#Canidius_Ant,565,165,92,26
#Charmian_Ant,9839,632,1502,113
#Cleopatra_Ant,10351,4695,1587,693
#Countryman_Ant,306,252,40,29
#Demetrius_Ant,497,35,72,5
#Diomedes_Ant,884,128,132,21
#Dolabella_Ant,1760,286,277,48
#EUNUCHS_Ant,365,0,54,0
#Egyptian_Ant,95,37,14,6
#Enobarbus_Ant,8903,2436,1363,360
#Eros_Ant,2028,284,320,50
#GUARDS.0.1_Ant,292,27,47,5
#GUARDS.0.2_Ant,273,6,44,2
#GUARDS.0.3_Ant,248,2,38,1
#GUARDS.CAESAR.0.1_Ant,360,86,58,14
#GUARDS.CAESAR.0.2_Ant,330,9,52,2
#GUARDS.CAESAR.1_Ant,29,21,6,4
#GUARDS.CAESAR_Ant,360,0,58,0
#GUARDS.Dercetus_Ant,680,159,103,23
#GUARDS_Ant,766,9,115,3
#Gallus_Ant,1732,24,261,4
#Iras_Ant,9375,160,1438,28
#LADIES_Ant,398,3,59,1
#Lepidus_JC,4035,411,619,69
#MESSENGERS.ANTONY.1_Ant,201,83,31,16
#MESSENGERS.ANTONY.2_Ant,24,9,5,2
#MESSENGERS.ANTONY.3_Ant,30,22,7,4
#MESSENGERS.CAESAR.1_Ant,408,49,60,7
#MESSENGERS.CAESAR.2_Ant,293,67,44,10
#MESSENGERS.X.1_Ant,356,6,53,1
#MESSENGERS.X.2_Ant,897,224,146,42
#MESSENGERS.X.3_Ant,15,13,3,2
#MESSENGERS.X.4_Ant,16,4,3,1
#MESSENGERS.X.5_Ant,27,6,6,2
#Maecenas_Ant,5824,255,887,43
#Mardian_Ant,2726,118,419,19
#Menas_Ant,2401,459,374,73
#Menecrates_Ant,414,0,62,0
#Octavia_Ant,1189,234,177,36
#Octavius_JC,6735,2889,1024,435
#Philo_Ant,497,125,72,17
#Pompey_Ant,1970,931,308,140
#Proculeius_Ant,1949,211,291,35
#SERVANTS.0.1_Ant,1045,66,162,9
#SERVANTS.0.2_Ant,1024,58,159,7
#SERVANTS.ANTONY_Ant,306,0,46,0
#SERVANTS.Lamprius_Ant,582,0,92,0
#SERVANTS.Lucillius_Ant,582,0,92,0
#SERVANTS.Rannius_Ant,582,0,92,0
#SERVANTS.X.1_Ant,28,4,4,1
#SERVANTS.X.2_Ant,517,7,73,2
#SERVANTS_Ant,1318,3,201,1
#SOLDIERS.ANTONY.0.1_Ant,160,65,31,12
#SOLDIERS.ANTONY.0.2_Ant,154,63,30,12
#SOLDIERS.ANTONY.0.3_Ant,120,15,24,4
#SOLDIERS.ANTONY.0.4_Ant,77,6,14,1
#SOLDIERS.ANTONY.0_Ant,124,0,25,0
#SOLDIERS.ANTONY.X.1_Ant,166,87,27,13
#SOLDIERS.ANTONY.X.2_Ant,134,18,20,3
#SOLDIERS.ANTONY.X.3_Ant,144,63,25,12
#SOLDIERS.ANTONY_Ant,640,14,104,3
#SOLDIERS.CAESAR.X.1_Ant,66,62,11,10
#SOLDIERS.CAESAR_Ant,499,0,79,0
#SOLDIERS_Ant,965,0,150,0
#Scarus_Ant,861,267,132,40
#Seleucus_Ant,270,26,40,4
#Silius_Ant,287,67,42,12
#Soothsayer_Ant,752,209,117,31
#Taurus_Ant,32,2,7,1
#Thidias_Ant,948,182,146,31
#Varrius_Ant,197,27,30,4
#Ventidius_Ant,1564,220,235,30
#WATCHMEN.1_Ant,255,25,41,5
#WATCHMEN.2_Ant,255,26,41,5
#WATCHMEN.Sentry_Ant,255,91,41,14
