node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ATTENDANTS.OLIVIA.1_TN,25,21,4,3
#ATTENDANTS.OLIVIA_TN,3741,0,507,0
#ATTENDANTS.ORSINO.Curio_TN,3902,41,540,7
#ATTENDANTS.ORSINO.Valentine_TN,480,102,65,14
#ATTENDANTS.ORSINO_TN,4128,0,573,0
#AndrewAguecheek_TN,5906,1171,815,168
#Antonio_TN,3903,803,534,110
#Captain_TN,481,239,67,32
#Fabian_TN,6888,862,936,120
#Feste_TN,5778,2443,777,318
#MUSICIANS_TN,893,0,131,0
#Malvolio_TN,4398,2224,619,297
#Maria_TN,4286,1216,590,156
#OFFICERS.1_TN,3050,100,426,13
#OFFICERS.2_TN,3050,19,426,4
#Olivia_TN,5964,2311,827,332
#Orsino_TN,4506,1617,623,227
#Priest_TN,1970,57,269,9
#SAILORS_TN,481,0,67,0
#Sebastian_TN,2972,1005,396,128
#TobyBelch_TN,7795,2694,1065,357
#Viola_TN,8721,2564,1179,344
