node,n_tokens_onstage,n_tokens_speaker,n_lines_onstage,n_lines_speaker
#ALDERMEN_3H6,542,5,67,1
#ATTENDANTS.EDWARD.1_3H6,24,16,3,2
#ATTENDANTS.EDWARD_3H6,2527,0,316,0
#Bourbon_3H6,2008,0,266,0
#Clarence_3H6,6977,836,894,105
#Clifford_3H6,5138,1092,658,139
#EdwardIV_3H6,11348,3483,1438,432
#EdwardV.Infant_3H6,364,0,47,0
#Exeter_3H6,2351,136,304,19
#Father_3H6,355,218,44,27
#GAMEKEEPERS.1_3H6,853,147,100,17
#GAMEKEEPERS.2_3H6,853,123,100,14
#Hastings_3H6,2433,158,310,21
#HenryVII_R3,786,0,105,0
#HenryVI_1H6,6937,2904,881,367
#HughMortimer_3H6,115,0,14,0
#Huntsman_3H6,130,18,18,2
#JohnMortimer_3H6,115,10,14,1
#KingLewis_3H6,2008,516,266,69
#LadyBona_3H6,2008,71,266,10
#Lieutenant_3H6,725,21,96,3
#MESSENGERS.1_3H6,24,6,3,1
#MESSENGERS.2_3H6,47,8,6,1
#MESSENGERS.Post_3H6,1180,224,153,33
#MESSENGERS.X.1_3H6,42,32,5,4
#MESSENGERS.X.2_3H6,197,162,25,21
#MESSENGERS.X.3_3H6,36,24,5,3
#MESSENGERS.X.4_3H6,46,46,6,6
#MESSENGERS.X.5_3H6,14,14,2,2
#MayorOfCoventry_3H6,905,0,114,0
#MayorOfYork_3H6,542,48,67,6
#Montague_3H6,6597,118,850,16
#Montgomery_3H6,385,119,49,15
#Norfolk_3H6,2441,26,314,3
#Northumberland_3H6,3773,244,484,30
#Nurse_3H6,364,0,47,0
#Oxford_3H6,4858,277,640,35
#Pembroke_3H6,992,0,128,0
#PrinceEdward_3H6,6453,358,833,47
#QueenElizabeth_3H6,2808,594,352,74
#QueenMargaret_1H6,6541,2246,844,285
#RichardIII_R3,12262,3174,1550,397
#Rivers_3H6,281,54,36,7
#Rutland_3H6,409,196,53,24
#SOLDIERS.CLARENCE_3H6,291,0,38,0
#SOLDIERS.FRENCH_3H6,500,0,69,0
#SOLDIERS.LANCASTER_3H6,3435,0,437,0
#SOLDIERS.MONTAGUE_3H6,21,0,3,0
#SOLDIERS.MONTGOMERY_3H6,385,5,49,1
#SOLDIERS.OXFORD_3H6,11,0,2,0
#SOLDIERS.SOMERSET_3H6,31,0,4,0
#SOLDIERS.WARWICK_3H6,915,0,115,0
#SOLDIERS.YORK.0.1_3H6,136,18,18,3
#SOLDIERS.YORK.0.2_3H6,637,0,81,0
#SOLDIERS.YORK_3H6,6478,5,823,1
#Somerset_3H6,3196,262,416,35
#Somerville_3H6,858,44,108,5
#Son_3H6,482,190,59,22
#Stafford_3H6,992,0,128,0
#Stanley_3H6,234,0,31,0
#Tutor_3H6,67,24,9,3
#WATCHMEN.1_3H6,209,62,27,8
#WATCHMEN.2_3H6,209,48,27,7
#WATCHMEN.3_3H6,209,74,27,9
#Warwick_2H6,8992,3414,1161,440
#Westmorland_3H6,1111,85,143,11
#York_1H6,3708,1358,473,179
